code	category	description	parent_code	general
I69.841	I69	Monoplegia of lower limb following other cerebrovascular disease affecting right dominant side	I69.84	f
I69.842	I69	Monoplegia of lower limb following other cerebrovascular disease affecting left dominant side	I69.84	f
I69.843	I69	Monoplegia of lower limb following other cerebrovascular disease affecting right non-dominant side	I69.84	f
I69.844	I69	Monoplegia of lower limb following other cerebrovascular disease affecting left non-dominant side	I69.84	f
I69.849	I69	Monoplegia of lower limb following other cerebrovascular disease affecting unspecified side	I69.84	t
I69.85	I69	Hemiplegia and hemiparesis following other cerebrovascular disease	I69.8	f
I69.851	I69	Hemiplegia and hemiparesis following other cerebrovascular disease affecting right dominant side	I69.85	f
I69.852	I69	Hemiplegia and hemiparesis following other cerebrovascular disease affecting left dominant side	I69.85	f
I69.853	I69	Hemiplegia and hemiparesis following other cerebrovascular disease affecting right non-dominant side	I69.85	f
I69.854	I69	Hemiplegia and hemiparesis following other cerebrovascular disease affecting left non-dominant side	I69.85	f
I69.859	I69	Hemiplegia and hemiparesis following other cerebrovascular disease affecting unspecified side	I69.85	t
I69.86	I69	Other paralytic syndrome following other cerebrovascular disease	I69.8	f
I69.861	I69	Other paralytic syndrome following other cerebrovascular disease affecting right dominant side	I69.86	f
I69.862	I69	Other paralytic syndrome following other cerebrovascular disease affecting left dominant side	I69.86	f
I69.863	I69	Other paralytic syndrome following other cerebrovascular disease affecting right non-dominant side	I69.86	f
I69.864	I69	Other paralytic syndrome following other cerebrovascular disease affecting left non-dominant side	I69.86	f
I69.865	I69	Other paralytic syndrome following other cerebrovascular disease, bilateral	I69.86	f
I69.869	I69	Other paralytic syndrome following other cerebrovascular disease affecting unspecified side	I69.86	t
I69.89	I69	Other sequelae of other cerebrovascular disease	I69.8	f
I69.890	I69	Apraxia following other cerebrovascular disease	I69.89	f
I69.891	I69	Dysphagia following other cerebrovascular disease	I69.89	f
I69.892	I69	Facial weakness following other cerebrovascular disease	I69.89	f
I69.893	I69	Ataxia following other cerebrovascular disease	I69.89	f
I69.898	I69	Other sequelae of other cerebrovascular disease	I69.89	f
I69.9	I69	Sequelae of unspecified cerebrovascular diseases	I69	t
I69.90	I69	Unspecified sequelae of unspecified cerebrovascular disease	I69.9	t
I69.91	I69	Cognitive deficits following unspecified cerebrovascular disease	I69.9	t
I69.910	I69	Attention and concentration deficit following unspecified cerebrovascular disease	I69.91	t
I69.911	I69	Memory deficit following unspecified cerebrovascular disease	I69.91	t
I69.912	I69	Visuospatial deficit and spatial neglect following unspecified cerebrovascular disease	I69.91	t
I69.913	I69	Psychomotor deficit following unspecified cerebrovascular disease	I69.91	t
I69.914	I69	Frontal lobe and executive function deficit following unspecified cerebrovascular disease	I69.91	t
I69.915	I69	Cognitive social or emotional deficit following unspecified cerebrovascular disease	I69.91	t
I69.918	I69	Other symptoms and signs involving cognitive functions following unspecified cerebrovascular disease	I69.91	t
I69.919	I69	Unspecified symptoms and signs involving cognitive functions following unspecified cerebrovascular disease	I69.91	t
I69.92	I69	Speech and language deficits following unspecified cerebrovascular disease	I69.9	t
I69.920	I69	Aphasia following unspecified cerebrovascular disease	I69.92	t
I69.921	I69	Dysphasia following unspecified cerebrovascular disease	I69.92	t
I69.922	I69	Dysarthria following unspecified cerebrovascular disease	I69.92	t
I69.923	I69	Fluency disorder following unspecified cerebrovascular disease	I69.92	t
I69.928	I69	Other speech and language deficits following unspecified cerebrovascular disease	I69.92	t
I69.93	I69	Monoplegia of upper limb following unspecified cerebrovascular disease	I69.9	t
I69.931	I69	Monoplegia of upper limb following unspecified cerebrovascular disease affecting right dominant side	I69.93	t
I69.932	I69	Monoplegia of upper limb following unspecified cerebrovascular disease affecting left dominant side	I69.93	t
I69.933	I69	Monoplegia of upper limb following unspecified cerebrovascular disease affecting right non-dominant side	I69.93	t
I69.934	I69	Monoplegia of upper limb following unspecified cerebrovascular disease affecting left non-dominant side	I69.93	t
I69.939	I69	Monoplegia of upper limb following unspecified cerebrovascular disease affecting unspecified side	I69.93	t
I69.94	I69	Monoplegia of lower limb following unspecified cerebrovascular disease	I69.9	t
I69.941	I69	Monoplegia of lower limb following unspecified cerebrovascular disease affecting right dominant side	I69.94	t
I69.942	I69	Monoplegia of lower limb following unspecified cerebrovascular disease affecting left dominant side	I69.94	t
I69.943	I69	Monoplegia of lower limb following unspecified cerebrovascular disease affecting right non-dominant side	I69.94	t
I69.944	I69	Monoplegia of lower limb following unspecified cerebrovascular disease affecting left non-dominant side	I69.94	t
I69.949	I69	Monoplegia of lower limb following unspecified cerebrovascular disease affecting unspecified side	I69.94	t
I69.95	I69	Hemiplegia and hemiparesis following unspecified cerebrovascular disease	I69.9	t
I69.951	I69	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right dominant side	I69.95	t
I69.952	I69	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left dominant side	I69.95	t
I69.953	I69	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right non-dominant side	I69.95	t
I69.954	I69	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left non-dominant side	I69.95	t
I69.959	I69	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting unspecified side	I69.95	t
I69.96	I69	Other paralytic syndrome following unspecified cerebrovascular disease	I69.9	t
I69.961	I69	Other paralytic syndrome following unspecified cerebrovascular disease affecting right dominant side	I69.96	t
I69.962	I69	Other paralytic syndrome following unspecified cerebrovascular disease affecting left dominant side	I69.96	t
I69.963	I69	Other paralytic syndrome following unspecified cerebrovascular disease affecting right non-dominant side	I69.96	t
I69.964	I69	Other paralytic syndrome following unspecified cerebrovascular disease affecting left non-dominant side	I69.96	t
I69.965	I69	Other paralytic syndrome following unspecified cerebrovascular disease, bilateral	I69.96	t
I69.969	I69	Other paralytic syndrome following unspecified cerebrovascular disease affecting unspecified side	I69.96	t
I69.99	I69	Other sequelae of unspecified cerebrovascular disease	I69.9	t
I69.990	I69	Apraxia following unspecified cerebrovascular disease	I69.99	t
I69.991	I69	Dysphagia following unspecified cerebrovascular disease	I69.99	t
I69.992	I69	Facial weakness following unspecified cerebrovascular disease	I69.99	t
I69.993	I69	Ataxia following unspecified cerebrovascular disease	I69.99	t
I69.998	I69	Other sequelae following unspecified cerebrovascular disease	I69.99	t
I70	I70	Atherosclerosis		f
I70.0	I70	Atherosclerosis of aorta	I70	f
I70.1	I70	Atherosclerosis of renal artery	I70	f
I70.2	I70	Atherosclerosis of native arteries of the extremities	I70	f
I70.20	I70	Unspecified atherosclerosis of native arteries of extremities	I70.2	t
I70.201	I70	Unspecified atherosclerosis of native arteries of extremities, right leg	I70.20	t
I70.202	I70	Unspecified atherosclerosis of native arteries of extremities, left leg	I70.20	t
I70.203	I70	Unspecified atherosclerosis of native arteries of extremities, bilateral legs	I70.20	t
I70.208	I70	Unspecified atherosclerosis of native arteries of extremities, other extremity	I70.20	t
I70.209	I70	Unspecified atherosclerosis of native arteries of extremities, unspecified extremity	I70.20	t
I70.21	I70	Atherosclerosis of native arteries of extremities with intermittent claudication	I70.2	f
I70.211	I70	Atherosclerosis of native arteries of extremities with intermittent claudication, right leg	I70.21	f
I70.212	I70	Atherosclerosis of native arteries of extremities with intermittent claudication, left leg	I70.21	f
I70.213	I70	Atherosclerosis of native arteries of extremities with intermittent claudication, bilateral legs	I70.21	f
I70.218	I70	Atherosclerosis of native arteries of extremities with intermittent claudication, other extremity	I70.21	f
I70.219	I70	Atherosclerosis of native arteries of extremities with intermittent claudication, unspecified extremity	I70.21	t
I70.22	I70	Atherosclerosis of native arteries of extremities with rest pain	I70.2	f
I70.221	I70	Atherosclerosis of native arteries of extremities with rest pain, right leg	I70.22	f
I70.222	I70	Atherosclerosis of native arteries of extremities with rest pain, left leg	I70.22	f
I70.223	I70	Atherosclerosis of native arteries of extremities with rest pain, bilateral legs	I70.22	f
I70.228	I70	Atherosclerosis of native arteries of extremities with rest pain, other extremity	I70.22	f
I70.229	I70	Atherosclerosis of native arteries of extremities with rest pain, unspecified extremity	I70.22	t
I70.23	I70	Atherosclerosis of native arteries of right leg with ulceration	I70.2	f
I70.231	I70	Atherosclerosis of native arteries of right leg with ulceration of thigh	I70.23	f
I70.232	I70	Atherosclerosis of native arteries of right leg with ulceration of calf	I70.23	f
I70.233	I70	Atherosclerosis of native arteries of right leg with ulceration of ankle	I70.23	f
I70.234	I70	Atherosclerosis of native arteries of right leg with ulceration of heel and midfoot	I70.23	f
I70.235	I70	Atherosclerosis of native arteries of right leg with ulceration of other part of foot	I70.23	f
I70.238	I70	Atherosclerosis of native arteries of right leg with ulceration of other part of lower leg	I70.23	f
I70.239	I70	Atherosclerosis of native arteries of right leg with ulceration of unspecified site	I70.23	t
I70.24	I70	Atherosclerosis of native arteries of left leg with ulceration	I70.2	f
I70.241	I70	Atherosclerosis of native arteries of left leg with ulceration of thigh	I70.24	f
I70.242	I70	Atherosclerosis of native arteries of left leg with ulceration of calf	I70.24	f
I70.243	I70	Atherosclerosis of native arteries of left leg with ulceration of ankle	I70.24	f
I70.244	I70	Atherosclerosis of native arteries of left leg with ulceration of heel and midfoot	I70.24	f
I70.245	I70	Atherosclerosis of native arteries of left leg with ulceration of other part of foot	I70.24	f
I70.248	I70	Atherosclerosis of native arteries of left leg with ulceration of other part of lower leg	I70.24	f
I70.249	I70	Atherosclerosis of native arteries of left leg with ulceration of unspecified site	I70.24	t
I70.25	I70	Atherosclerosis of native arteries of other extremities with ulceration	I70.2	f
I70.26	I70	Atherosclerosis of native arteries of extremities with gangrene	I70.2	f
I70.261	I70	Atherosclerosis of native arteries of extremities with gangrene, right leg	I70.26	f
I70.262	I70	Atherosclerosis of native arteries of extremities with gangrene, left leg	I70.26	f
I70.263	I70	Atherosclerosis of native arteries of extremities with gangrene, bilateral legs	I70.26	f
I70.268	I70	Atherosclerosis of native arteries of extremities with gangrene, other extremity	I70.26	f
R07.1	R07	Chest pain on breathing	R07	f
I70.269	I70	Atherosclerosis of native arteries of extremities with gangrene, unspecified extremity	I70.26	t
I70.29	I70	Other atherosclerosis of native arteries of extremities	I70.2	f
I70.291	I70	Other atherosclerosis of native arteries of extremities, right leg	I70.29	f
I70.292	I70	Other atherosclerosis of native arteries of extremities, left leg	I70.29	f
I70.293	I70	Other atherosclerosis of native arteries of extremities, bilateral legs	I70.29	f
I70.298	I70	Other atherosclerosis of native arteries of extremities, other extremity	I70.29	f
I70.299	I70	Other atherosclerosis of native arteries of extremities, unspecified extremity	I70.29	t
I70.3	I70	Atherosclerosis of unspecified type of bypass graft(s) of the extremities	I70	t
I70.30	I70	Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities	I70.3	t
I70.301	I70	Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, right leg	I70.30	t
I70.302	I70	Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, left leg	I70.30	t
I70.303	I70	Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, bilateral legs	I70.30	t
I70.308	I70	Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, other extremity	I70.30	t
I70.309	I70	Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, unspecified extremity	I70.30	t
I70.31	I70	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication	I70.3	t
I70.311	I70	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, right leg	I70.31	t
I70.312	I70	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, left leg	I70.31	t
I70.313	I70	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, bilateral legs	I70.31	t
I70.318	I70	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, other extremity	I70.31	t
I70.319	I70	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, unspecified extremity	I70.31	t
I70.32	I70	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain	I70.3	t
I70.321	I70	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, right leg	I70.32	t
I70.322	I70	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, left leg	I70.32	t
I70.323	I70	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, bilateral legs	I70.32	t
I70.328	I70	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, other extremity	I70.32	t
I70.329	I70	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, unspecified extremity	I70.32	t
I70.33	I70	Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration	I70.3	t
I70.331	I70	Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of thigh	I70.33	t
I70.332	I70	Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of calf	I70.33	t
I70.333	I70	Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of ankle	I70.33	t
I70.334	I70	Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of heel and midfoot	I70.33	t
I70.335	I70	Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of foot	I70.33	t
I70.338	I70	Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of lower leg	I70.33	t
I70.339	I70	Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of unspecified site	I70.33	t
I70.34	I70	Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration	I70.3	t
I70.341	I70	Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of thigh	I70.34	t
I70.342	I70	Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of calf	I70.34	t
I70.343	I70	Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of ankle	I70.34	t
I70.344	I70	Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of heel and midfoot	I70.34	t
I70.345	I70	Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of foot	I70.34	t
I70.348	I70	Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of lower leg	I70.34	t
I70.349	I70	Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of unspecified site	I70.34	t
I70.35	I70	Atherosclerosis of unspecified type of bypass graft(s) of other extremity with ulceration	I70.3	t
I70.36	I70	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene	I70.3	t
I70.361	I70	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, right leg	I70.36	t
I70.362	I70	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, left leg	I70.36	t
I70.363	I70	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, bilateral legs	I70.36	t
I70.368	I70	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, other extremity	I70.36	t
I70.369	I70	Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, unspecified extremity	I70.36	t
I70.39	I70	Other atherosclerosis of unspecified type of bypass graft(s) of the extremities	I70.3	t
I70.391	I70	Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, right leg	I70.39	t
I70.392	I70	Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, left leg	I70.39	t
I70.393	I70	Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, bilateral legs	I70.39	t
I70.398	I70	Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, other extremity	I70.39	t
I71.60	I71	Thoracoabdominal aortic aneurysm, without rupture, unspecified	I71.6	t
I70.399	I70	Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, unspecified extremity	I70.39	t
I70.4	I70	Atherosclerosis of autologous vein bypass graft(s) of the extremities	I70	f
I70.40	I70	Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities	I70.4	t
I70.401	I70	Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, right leg	I70.40	t
I70.402	I70	Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, left leg	I70.40	t
I70.403	I70	Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, bilateral legs	I70.40	t
I70.408	I70	Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, other extremity	I70.40	t
I70.409	I70	Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, unspecified extremity	I70.40	t
I70.41	I70	Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication	I70.4	f
I70.411	I70	Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, right leg	I70.41	f
I70.412	I70	Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, left leg	I70.41	f
I70.413	I70	Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, bilateral legs	I70.41	f
I70.418	I70	Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, other extremity	I70.41	f
I70.419	I70	Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, unspecified extremity	I70.41	t
I70.42	I70	Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain	I70.4	f
I70.421	I70	Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, right leg	I70.42	f
I70.422	I70	Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, left leg	I70.42	f
I70.423	I70	Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, bilateral legs	I70.42	f
I70.428	I70	Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, other extremity	I70.42	f
I70.429	I70	Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, unspecified extremity	I70.42	t
I70.43	I70	Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration	I70.4	f
I70.431	I70	Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of thigh	I70.43	f
I70.432	I70	Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of calf	I70.43	f
I70.433	I70	Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of ankle	I70.43	f
I70.434	I70	Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of heel and midfoot	I70.43	f
I70.435	I70	Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of other part of foot	I70.43	f
I70.438	I70	Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of other part of lower leg	I70.43	f
I70.439	I70	Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of unspecified site	I70.43	t
I70.44	I70	Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration	I70.4	f
I70.441	I70	Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of thigh	I70.44	f
I70.442	I70	Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of calf	I70.44	f
I70.443	I70	Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of ankle	I70.44	f
I70.444	I70	Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of heel and midfoot	I70.44	f
I70.445	I70	Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of other part of foot	I70.44	f
I70.448	I70	Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of other part of lower leg	I70.44	f
I70.449	I70	Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of unspecified site	I70.44	t
I70.45	I70	Atherosclerosis of autologous vein bypass graft(s) of other extremity with ulceration	I70.4	f
I70.46	I70	Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene	I70.4	f
I70.461	I70	Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, right leg	I70.46	f
I70.462	I70	Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, left leg	I70.46	f
I70.463	I70	Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, bilateral legs	I70.46	f
I70.468	I70	Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, other extremity	I70.46	f
I70.469	I70	Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, unspecified extremity	I70.46	t
I70.49	I70	Other atherosclerosis of autologous vein bypass graft(s) of the extremities	I70.4	f
I70.491	I70	Other atherosclerosis of autologous vein bypass graft(s) of the extremities, right leg	I70.49	f
I70.492	I70	Other atherosclerosis of autologous vein bypass graft(s) of the extremities, left leg	I70.49	f
I70.493	I70	Other atherosclerosis of autologous vein bypass graft(s) of the extremities, bilateral legs	I70.49	f
I70.498	I70	Other atherosclerosis of autologous vein bypass graft(s) of the extremities, other extremity	I70.49	f
I70.499	I70	Other atherosclerosis of autologous vein bypass graft(s) of the extremities, unspecified extremity	I70.49	t
I70.5	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the extremities	I70	f
I70.50	I70	Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities	I70.5	t
I70.501	I70	Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, right leg	I70.50	t
I70.502	I70	Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, left leg	I70.50	t
I70.503	I70	Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, bilateral legs	I70.50	t
I70.508	I70	Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, other extremity	I70.50	t
I70.509	I70	Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, unspecified extremity	I70.50	t
I70.51	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the extremities intermittent claudication	I70.5	f
I70.511	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent claudication, right leg	I70.51	f
I70.512	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent claudication, left leg	I70.51	f
I70.513	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent claudication, bilateral legs	I70.51	f
I70.518	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent claudication, other extremity	I70.51	f
I70.519	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent claudication, unspecified extremity	I70.51	t
I70.52	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain	I70.5	f
I70.521	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, right leg	I70.52	f
I70.522	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, left leg	I70.52	f
I70.523	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, bilateral legs	I70.52	f
I70.528	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, other extremity	I70.52	f
I70.529	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, unspecified extremity	I70.52	t
I70.53	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration	I70.5	f
I70.531	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of thigh	I70.53	f
I70.532	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of calf	I70.53	f
I70.533	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of ankle	I70.53	f
I70.534	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of heel and midfoot	I70.53	f
I70.535	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of other part of foot	I70.53	f
I70.538	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of other part of lower leg	I70.53	f
I70.539	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of unspecified site	I70.53	t
I70.54	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration	I70.5	f
I70.541	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of thigh	I70.54	f
I70.542	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of calf	I70.54	f
I70.543	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of ankle	I70.54	f
I70.544	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of heel and midfoot	I70.54	f
I70.545	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of other part of foot	I70.54	f
I70.548	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of other part of lower leg	I70.54	f
I70.549	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of unspecified site	I70.54	t
I70.55	I70	Atherosclerosis of nonautologous biological bypass graft(s) of other extremity with ulceration	I70.5	f
I70.56	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene	I70.5	f
I70.561	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, right leg	I70.56	f
I70.562	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, left leg	I70.56	f
I70.563	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, bilateral legs	I70.56	f
I70.568	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, other extremity	I70.56	f
I70.569	I70	Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, unspecified extremity	I70.56	t
I70.59	I70	Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities	I70.5	f
I70.591	I70	Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, right leg	I70.59	f
I70.592	I70	Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, left leg	I70.59	f
I70.593	I70	Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, bilateral legs	I70.59	f
I70.598	I70	Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, other extremity	I70.59	f
I70.599	I70	Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, unspecified extremity	I70.59	t
I70.6	I70	Atherosclerosis of nonbiological bypass graft(s) of the extremities	I70	f
I70.60	I70	Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities	I70.6	t
I70.601	I70	Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, right leg	I70.60	t
I70.602	I70	Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, left leg	I70.60	t
I70.603	I70	Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, bilateral legs	I70.60	t
I70.608	I70	Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, other extremity	I70.60	t
I70.609	I70	Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, unspecified extremity	I70.60	t
I70.61	I70	Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication	I70.6	f
I70.611	I70	Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication, right leg	I70.61	f
I70.612	I70	Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication, left leg	I70.61	f
I70.613	I70	Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication, bilateral legs	I70.61	f
I70.618	I70	Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication, other extremity	I70.61	f
I70.619	I70	Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication, unspecified extremity	I70.61	t
I70.62	I70	Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain	I70.6	f
I70.621	I70	Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, right leg	I70.62	f
I70.622	I70	Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, left leg	I70.62	f
I70.623	I70	Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, bilateral legs	I70.62	f
I70.628	I70	Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, other extremity	I70.62	f
I70.629	I70	Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, unspecified extremity	I70.62	t
