id	created_at	updated_at	drug_id	form	routes	strength_numerators	strength_numerator_unit	strength_denominator	strength_denominator_unit
194	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	112	INJECTABLE	"{""IV (INFUSION)""}"	{20}	MG	0.5	ML
195	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	113	INJECTABLE	{INJECTION}	{200}	MG	1	INJECTION
196	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	118	TABLET	{ORAL,RECTAL,VAGINAL,SUBLINGUAL,BUCCAL}	{200}	MCG	1	TABLET
197	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	108	TABLET	{ORAL}	{62.5,1000}	MG	1	TABLET
198	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	119	TABLET, COATED	{ORAL}	{50,100}	MG	1	TABLET
199	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	120	TABLET, COATED	{ORAL}	{150,300}	MG	1	TABLET
200	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	121	TABLET, COATED	{ORAL}	{150,200,300}	MG	1	TABLET
201	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	122	TABLET, COATED	{ORAL}	{300,400,600}	MG	1	TABLET
202	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	123	CREAM	{TOPICAL}	{2.1}	G	100	G
203	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	124	SYRUP	{ORAL}	{5}	MG	5	ML
204	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	125	GEL	{ORAL,TOPICAL}	{2}	G	100	G
205	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	75	TABLET, EFFERVESCENT	{ORAL}	{1000}	MG	1	TABLET
206	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	108	POWDER, FOR SUSPENSION	{ORAL}	{31.25,57,62.5,125,250,400}	MG	5	ML
207	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	124	TABLET	{ORAL}	{10}	MG	1	TABLET
208	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	75	SUPPOSITORY	{RECTAL}	{125,250}	MG	1	SUPPOSITORY
209	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	126	TABLET	{ORAL}	{50}	MG	1	TABLET
210	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	127	TABLET	{ORAL}	{1}	MG	1	TABLET
211	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	121	TABLET	{ORAL}	{30,50,60,150,200,300}	MG	1	TABLET
212	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	108	INJECTABLE	{INJECTION}	{1.2}	G	20	ML
213	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	126	TABLET, COATED	{ORAL}	{50}	MG	1	TABLET
214	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	128	TABLET	{ORAL}	{200}	MG	1	TABLET
215	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	129	SOLUTION	{INJECTION,ORAL,INHALATION,TOPICAL}	{5}	G	100	ML
216	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	75	INJECTABLE	"{""IV (INFUSION)""}"	{10}	MG	1	ML
217	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	130	POWDER/INJECTABLE	{INJECTION}	{75}	MCG	0.1	ML
218	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	120	TABLET	{ORAL}	{30,60,150,300}	MG	1	TABLET
219	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	131	POWDER/INJECTABLE	{INJECTION}	{500}	MG	1	INJECTION
220	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	132	INJECTABLE	"{""IV (INFUSION)""}"	{1000}	ML	1	INFUSION
221	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	133	OINTMENT	{TOPICAL}	{2}	G	100	G
222	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	75	TABLET, COATED	{ORAL}	{500}	MG	1	TABLET
223	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	119	TABLET	{ORAL}	{25,50,100}	MG	1	TABLET
224	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	130	VACCINE	{ORAL,INJECTION}	{1,33}	X	0.1	ML
225	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	134	INHALATION	{INHALATION}	{50,200}	MCG	1	INHALATION
226	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	135	TABLET	{ORAL}	{25,50}	MG	1	TABLET
227	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	75	ELIXIR	{ORAL}	{120}	MG	5	ML
228	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	136	SUSPENSION	{ORAL}	{40,200}	MG	5	ML
229	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	128	SUSPENSION	{ORAL}	{100}	MG	5	ML
230	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	137	POWDER/INJECTABLE	{INJECTION}	{25,100}	MG	1	VIAL
231	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	138	SYRUP	{ORAL}	{15}	MG	5	ML
232	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	139	TABLET	{ORAL}	{35,450}	MG	1	TABLET
233	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	128	SHAMPOO	{TOPICAL}	{2}	G	100	G
234	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	140	INJECTABLE	{INJECTION}	{1}	G	1	INJECTION
235	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	141	CREAM	{TOPICAL}	{0.1}	G	100	ML
236	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	142	LIQUID	{ORAL}	{7.5}	G	100	G
237	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	143	SOLUTION/DROPS	{OPHTHALMIC}	{0.5}	G	100	G
238	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	144	TABLET, COATED	{ORAL}	{25,47.5,100}	MG	1	TABLET
239	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	145	TABLET	{ORAL}	{1.375,30}	MG	1	TABLET
240	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	128	CREAM	{TOPICAL}	{2}	G	100	G
241	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	140	POWDER/INJECTABLE	{INJECTION}	{500,1000}	MG	1	INJECTION
242	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	146	OINTMENT	{TOPICAL}	{0.1}	G	100	G
243	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	142	CREAM	{TOPICAL}	{1,5}	G	100	G
244	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	147	SOLUTION/DROPS	{OPHTHALMIC}	{0.5}	G	100	G
245	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	148	SUSPENSION	{ORAL,INJECTION}	{40}	IU	0.5	ML
246	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	149	TABLET, COATED	{ORAL}	{50}	MG	1	TABLET
247	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	150	TABLET	{ORAL}	{5,10}	MG	1	TABLET
248	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	142	SOLUTION/MOUTHWASH	{ORAL}	{1}	G	100	ML
249	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	151	TABLET, COATED	{ORAL}	{600}	MG	1	TABLET
250	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	152	TABLET	{ORAL}	{5}	MG	1	TABLET
251	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	144	TABLET	{ORAL}	{50}	MG	1	TABLET
252	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	153	VACCINE	{ORAL,INJECTION}	{0.1}	ML	1	VACCINE
253	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	154	CAPSULE	{ORAL}	{50}	MG	1	CAPSULE
254	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	155	OINTMENT	{TOPICAL}	{3}	G	100	G
255	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	156	TABLET	{ORAL,RECTAL,VAGINAL,SUBLINGUAL,BUCCAL}	{250}	MG	1	TABLET
256	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	142	SOLUTION, GARGEL	{ORAL}	{1}	G	100	ML
257	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	150	TABLET, COATED	{ORAL}	{5,10}	MG	1	TABLET
258	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	151	TABLET	{ORAL}	{600}	MG	1	TABLET
259	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	155	OINTMENT	{OPHTHALMIC}	{1}	G	100	G
260	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	157	VACCINE	{ORAL,INJECTION}	{5.8,6}	MG	1	VACCINE
261	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	156	TABLET	{ORAL}	{250}	MG	1	TABLET
262	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	158	POWDER/INJECTABLE	{INJECTION}	{15}	IU	1	INJECTION
263	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	159	TABLET, COATED	{ORAL}	{150}	MG	1	TABLET
264	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	160	TABLET, COATED	{ORAL}	{200,400}	MG	1	TABLET
265	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	161	SOLUTION	{INJECTION,ORAL,INHALATION,TOPICAL}	{0.64}	G	100	ML
266	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	162	POWDER/INJECTABLE	{INJECTION}	{75}	IU	1	INJECTION
267	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	163	SOLUTION	{INJECTION,ORAL,INHALATION,TOPICAL}	{5}	MG	1	ML
268	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	164	INJECTABLE	"{""INJECTION, AMPOULE""}"	{0.5}	G	100	ML
269	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	165	TABLET, EFFERVESCENT	{ORAL}	{0.327,1}	G	1	TABLET
270	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	166	TABLET	{ORAL}	{80,120,160,400,480,800,960}	MG	1	TABLET
271	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	167	TABLET	{ORAL}	{24,400}	MG	1	TABLET
272	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	168	SOLUTION	{INJECTION}	{10}	MG	1	ML
273	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	169	CREAM	{TOPICAL}	{4}	G	100	G
274	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	170	TABLET, EFFERVESCENT	{ORAL}	{0.3,2.94}	G	1	TABLET
275	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	171	TABLET	{ORAL}	{500}	MG	1	TABLET
276	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	167	CAPSULE	{ORAL}	{50,500}	MG	1	CAPSULE
277	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	168	TABLET	{ORAL}	{136.8}	MG	1	TABLET
278	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	172	LINIMENT	{TOPICAL}	{20}	G	100	ML
279	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	173	SOLUTION	{INJECTION,ORAL,INHALATION,TOPICAL}	{100}	MG	1	ML
280	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	174	LOTION	{TOPICAL}	{1}	G	100	ML
281	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	175	CAPSULE	{ORAL}	{100}	MG	1	CAPSULE
282	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	176	CREAM	{TOPICAL}	{1}	G	100	G
283	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	177	POWDER/INJECTABLE	{INJECTION}	{4}	MG	1	INJECTION
284	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	173	INJECTABLE	{INJECTION}	{100}	MG	1	INJECTION
285	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	174	CREAM	{TOPICAL}	{0.025,1}	G	100	G
286	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	178	TABLET, COATED	{ORAL}	{150,500}	MG	1	TABLET
287	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	179	TABLET	{ORAL}	{3.125,6.25,12.5,25}	MG	1	TABLET
288	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	180	SOLUTION/DROPS	{OPHTHALMIC}	{5}	MG	1	ML
289	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	181	TABLET, COATED	{ORAL}	{12.5,25,80,160}	MG	1	TABLET
290	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	177	CAPSULE	{ORAL}	{0.25,1}	MG	1	CAPSULE
291	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	182	TABLET	{ORAL}	{20,40,80}	MG	1	TABLET
292	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	183	TABLET	{ORAL}	{12.5,25,40,80}	MG	1	TABLET
293	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	184	TABLET, COATED	{ORAL}	{4}	MG	1	TABLET
294	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	185	POWDER/INJECTABLE	{INJECTION}	{50,70}	MG	1	VIAL
295	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	186	TABLET, COATED	{ORAL}	{50}	MG	1	TABLET
296	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	187	GRANULE, FOR SUSPENSION	{ORAL}	{125}	MG	5	ML
297	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	188	SYRUP	{ORAL}	{125}	MG	5	ML
298	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	189	POWDER/INJECTABLE	{INJECTION}	{1}	G	1	INJECTION
299	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	187	CAPSULE	{ORAL}	{250,500}	MG	1	CAPSULE
300	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	190	INJECTABLE	{INJECTION}	{250,500}	MG	1	INJECTION
301	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	191	TABLET, COATED	{ORAL}	{250,500}	MG	1	TABLET
302	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	188	CAPSULE	{ORAL}	{250,500}	MG	1	CAPSULE
303	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	183	TABLET, COATED	{ORAL}	{12.5,80}	MG	1	TABLET
304	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	166	SUSPENSION	{ORAL}	{240}	MG	5	ML
305	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	160	CAPSULE	{ORAL}	{200,400}	MG	1	CAPSULE
306	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	181	TABLET	{ORAL}	{12.5,25,160}	MG	1	TABLET
307	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	192	INJECTABLE	{INJECTION}	{750}	MG	1	INJECTION
308	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	187	TABLET	{ORAL}	{375}	MG	1	TABLET
309	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	166	SUSPENSION	{ORAL,INJECTION}	{240}	MG	5	ML
310	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	193	CAPSULE	{ORAL}	{100,200}	MG	1	CAPSULE
311	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	192	POWDER/INJECTABLE	{INJECTION}	{750}	MG	1	INJECTION
312	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	194	TROCHE/LOZENGE	{ORAL}	{0.5,1.25,5}	MG	1	LOZENGE
313	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	188	SUSPENSION	{ORAL}	{125}	MG	5	ML
314	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	195	TROCHE/LOZENGE	{ORAL}	{1.4,10}	MG	1	LOZENGE
315	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	160	SUSPENSION	{ORAL}	{100,200}	MG	5	ML
316	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	196	TROCHE/LOZENGE	{ORAL}	{1.47,6.5}	MG	1	LOZENGE
317	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	197	TABLET, COATED	{ORAL}	{200}	MG	1	TABLET
318	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	198	TABLET, COATED	{ORAL}	{75}	MG	1	TABLET
319	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	199	INJECTABLE	{INJECTION}	{20}	MCG	1	INJECTION
320	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	200	SOLUTION	{INJECTION,ORAL,INHALATION,TOPICAL}	{1}	G	100	G
321	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	201	TABLET, COATED	{ORAL}	{0.5,1}	MG	1	TABLET
322	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	202	CAPSULE	{ORAL}	{250}	MG	1	CAPSULE
323	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	191	TABLET	{ORAL}	{250}	MG	1	TABLET
324	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	160	GEL	{ORAL,TOPICAL}	{50}	MG	1	G
325	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	203	POWDER/INJECTABLE	{INJECTION}	{1}	G	1	INJECTION
326	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	204	TABLET	{ORAL}	{250}	MG	1	TABLET
327	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	205	TABLET	{ORAL}	{25,100}	MG	1	TABLET
328	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	206	TABLET, COATED	{ORAL}	{10,20}	MG	1	TABLET
329	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	191	GRANULE, FOR SUSPENSION	{ORAL}	{125}	MG	5	ML
330	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	207	TABLET, COATED	{ORAL}	{200}	MG	1	TABLET
331	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	202	SUSPENSION	{ORAL,INJECTION}	{125}	MG	5	ML
332	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	208	SOLUTION/DROPS	{OPHTHALMIC}	{0.3}	G	100	ML
333	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	209	TABLET, COATED	{ORAL}	{500}	MG	1	TABLET
334	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	207	SOLUTION/DROPS	{OPHTHALMIC}	{3}	MG	1	ML
335	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	205	ELIXIR	{ORAL}	{25}	MG	5	ML
336	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	210	INJECTABLE	"{""IV (INFUSION)""}"	{0.2}	G	100	ML
337	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	208	TABLET, COATED	{ORAL}	{250,500}	MG	1	TABLET
338	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	211	CAPSULE	{ORAL}	{10,200,250}	MG	1	CAPSULE
339	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	212	SYRUP	{ORAL}	{1.37}	G	5	ML
340	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	202	OINTMENT	{OPHTHALMIC}	{1}	M	1	M
341	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	213	TABLET, COATED	{ORAL}	{250,500}	MG	1	TABLET
342	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	205	INJECTABLE	{INJECTION}	{50}	MG	2	ML
343	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	210	INJECTABLE	{INJECTION}	{0.2}	G	100	G
344	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	214	TABLET, COATED	{ORAL}	{125,875}	MG	1	TABLET
345	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	215	TABLET, COATED	{ORAL}	{1,2}	G	1	TABLET
346	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	216	CAPSULE	{ORAL}	{150}	MG	1	CAPSULE
347	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	217	TABLET	{ORAL}	{10}	MG	1	TABLET
348	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	214	TABLET	{ORAL,RECTAL,VAGINAL,SUBLINGUAL,BUCCAL}	{125,875}	MG	1	TABLET
349	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	218	CAPSULE	{ORAL}	{250}	MG	1	CAPSULE
350	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	219	CAPSULE	{ORAL}	{250,500}	MG	1	CAPSULE
351	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	216	SOLUTION	{INJECTION,ORAL,INHALATION,TOPICAL}	{1}	G	100	G
352	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	220	OINTMENT	{TOPICAL}	{6.25}	G	100	G
353	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	221	POWDER, FOR SUSPENSION	{ORAL}	{42.9,600}	MG	5	ML
354	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	222	TABLET, COATED	{ORAL}	{150,800}	MG	1	TABLET
355	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	214	TABLET	{ORAL}	{125,500}	MG	1	TABLET
356	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	217	SYRUP	{ORAL}	{5}	MG	5	ML
357	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	213	TABLET	{ORAL}	{500}	MG	1	TABLET
358	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	223	TABLET	{ORAL}	{8,20,500}	MG	1	TABLET
359	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	224	TABLET	{ORAL}	{30}	MG	1	TABLET
360	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	225	CAPSULE	{ORAL}	{1.5,5.75,7.8,9.25,40,240}	MG	1	CAPSULE
361	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	226	TABLET	{ORAL}	{0.5}	MG	1	TABLET
362	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	227	CAPSULE	{ORAL}	{200}	MG	1	CAPSULE
363	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	208	TABLET	{ORAL}	{250,500}	MG	1	TABLET
364	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	219	GRANULE, FOR SUSPENSION	{ORAL}	{125,250}	MG	5	ML
365	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	213	POWDER/INJECTABLE	{INJECTION}	{500}	MG	1	INJECTION
366	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	228	SOLUTION	{INJECTION,ORAL,INHALATION,TOPICAL}	{2,5}	MG	1	ML
367	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	229	INJECTABLE	"{""IV (INFUSION)""}"	{0.27,0.4,3.2,6}	G	1	INFUSION
368	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	213	GRANULE, FOR SUSPENSION	{ORAL}	{125,250}	MG	5	ML
369	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	230	TABLET	{ORAL}	{18,27,36,54}	MG	1	TABLET
370	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	231	CAPSULE	{ORAL}	{0.4}	MG	1	CAPSULE
371	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	232	INJECTABLE	{INJECTION}	{150}	MG	1	ML
372	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	233	TABLET	{ORAL}	{0.03,0.3}	MG	1	TABLET
373	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	234	TABLET, COATED	{ORAL}	{0.03,0.15,75}	MG	1	TABLET
374	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	235	TABLET, COATED	{ORAL}	{12.5,22.5,500}	MG	1	TABLET
375	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	236	TABLET	{ORAL,RECTAL,VAGINAL,SUBLINGUAL,BUCCAL}	{2,30,500}	MG	1	TABLET
376	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	237	SYRUP	{ORAL}	{15}	MG	5	ML
377	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	233	TABLET, COATED	{ORAL}	{0.03,0.3}	MG	1	TABLET
378	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	238	TABLET	{ORAL}	{30,500}	MG	1	TABLET
379	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	239	TABLET	{ORAL,RECTAL,VAGINAL,SUBLINGUAL,BUCCAL}	{2,30,500}	MG	1	TABLET
380	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	240	SOLUTION	{INJECTION,ORAL,INHALATION,TOPICAL}	{2}	MG	1	ML
381	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	241	TABLET	{ORAL}	{50,100,150,200}	MG	1	TABLET
382	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	242	SYRUP	{ORAL}	{12.5}	MG	140	MG
383	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	243	LINCTUS	{ORAL}	{1.36}	G	5	ML
384	2024-03-11 00:32:34.893999-04	2024-03-11 00:32:34.893999-04	238	TABLET, COATED	{ORAL}	{30,500}	MG	1	TABLET
