category	section	description
H50	H49-H52	Other strabismus
H51	H49-H52	Other disorders of binocular movement
H52	H49-H52	Disorders of refraction and accommodation
H53	H53-H54	Visual disturbances
H54	H53-H54	Blindness and low vision
H55	H55-H57	Nystagmus and other irregular eye movements
H57	H55-H57	Other disorders of eye and adnexa
H59	H59	Intraoperative and postprocedural complications and disorders of eye and adnexa, not elsewhere classified
H60	H60-H62	Otitis externa
H61	H60-H62	Other disorders of external ear
H62	H60-H62	Disorders of external ear in diseases classified elsewhere
H65	H65-H75	Nonsuppurative otitis media
H66	H65-H75	Suppurative and unspecified otitis media
H67	H65-H75	Otitis media in diseases classified elsewhere
H68	H65-H75	Eustachian salpingitis and obstruction
H69	H65-H75	Other and unspecified disorders of Eustachian tube
H70	H65-H75	Mastoiditis and related conditions
H71	H65-H75	Cholesteatoma of middle ear
H72	H65-H75	Perforation of tympanic membrane
H73	H65-H75	Other disorders of tympanic membrane
H74	H65-H75	Other disorders of middle ear mastoid
H75	H65-H75	Other disorders of middle ear and mastoid in diseases classified elsewhere
H80	H80-H83	Otosclerosis
H81	H80-H83	Disorders of vestibular function
H82	H80-H83	Vertiginous syndromes in diseases classified elsewhere
H83	H80-H83	Other diseases of inner ear
M16	M15-M19	Osteoarthritis of hip
H90	H90-H94	Conductive and sensorineural hearing loss
H91	H90-H94	Other and unspecified hearing loss
H92	H90-H94	Otalgia and effusion of ear
H93	H90-H94	Other disorders of ear, not elsewhere classified
H94	H90-H94	Other disorders of ear in diseases classified elsewhere
H95	H95	Intraoperative and postprocedural complications and disorders of ear and mastoid process, not elsewhere classified
I00	I00-I02	Rheumatic fever without heart involvement
I01	I00-I02	Rheumatic fever with heart involvement
I02	I00-I02	Rheumatic chorea
I05	I05-I09	Rheumatic mitral valve diseases
I06	I05-I09	Rheumatic aortic valve diseases
I07	I05-I09	Rheumatic tricuspid valve diseases
I08	I05-I09	Multiple valve diseases
I09	I05-I09	Other rheumatic heart diseases
I10	I10-I1A	Essential (primary) hypertension
I11	I10-I1A	Hypertensive heart disease
I12	I10-I1A	Hypertensive chronic kidney disease
I13	I10-I1A	Hypertensive heart and chronic kidney disease
I15	I10-I1A	Secondary hypertension
I16	I10-I1A	Hypertensive crisis
I1A	I10-I1A	Other hypertension
I20	I20-I25	Angina pectoris
I21	I20-I25	Acute myocardial infarction
I22	I20-I25	Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction
I23	I20-I25	Certain current complications following ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction (within the 28 day period)
I24	I20-I25	Other acute ischemic heart diseases
I25	I20-I25	Chronic ischemic heart disease
I26	I26-I28	Pulmonary embolism
I27	I26-I28	Other pulmonary heart diseases
I28	I26-I28	Other diseases of pulmonary vessels
I30	I30-I5A	Acute pericarditis
I31	I30-I5A	Other diseases of pericardium
I32	I30-I5A	Pericarditis in diseases classified elsewhere
I33	I30-I5A	Acute and subacute endocarditis
I34	I30-I5A	Nonrheumatic mitral valve disorders
I35	I30-I5A	Nonrheumatic aortic valve disorders
I36	I30-I5A	Nonrheumatic tricuspid valve disorders
I37	I30-I5A	Nonrheumatic pulmonary valve disorders
I38	I30-I5A	Endocarditis, valve unspecified
I39	I30-I5A	Endocarditis and heart valve disorders in diseases classified elsewhere
I40	I30-I5A	Acute myocarditis
I41	I30-I5A	Myocarditis in diseases classified elsewhere
I42	I30-I5A	Cardiomyopathy
I43	I30-I5A	Cardiomyopathy in diseases classified elsewhere
I44	I30-I5A	Atrioventricular and left bundle-branch block
I45	I30-I5A	Other conduction disorders
I46	I30-I5A	Cardiac arrest
I47	I30-I5A	Paroxysmal tachycardia
I48	I30-I5A	Atrial fibrillation and flutter
I49	I30-I5A	Other cardiac arrhythmias
I50	I30-I5A	Heart failure
I51	I30-I5A	Complications and ill-defined descriptions of heart disease
I52	I30-I5A	Other heart disorders in diseases classified elsewhere
I5A	I30-I5A	Non-ischemic myocardial injury (non-traumatic)
I60	I60-I69	Nontraumatic subarachnoid hemorrhage
I61	I60-I69	Nontraumatic intracerebral hemorrhage
I62	I60-I69	Other and unspecified nontraumatic intracranial hemorrhage
I63	I60-I69	Cerebral infarction
I65	I60-I69	Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction
I66	I60-I69	Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction
I67	I60-I69	Other cerebrovascular diseases
I68	I60-I69	Cerebrovascular disorders in diseases classified elsewhere
I69	I60-I69	Sequelae of cerebrovascular disease
I70	I70-I79	Atherosclerosis
I71	I70-I79	Aortic aneurysm and dissection
I72	I70-I79	Other aneurysm
I73	I70-I79	Other peripheral vascular diseases
I74	I70-I79	Arterial embolism and thrombosis
I75	I70-I79	Atheroembolism
I76	I70-I79	Septic arterial embolism
I77	I70-I79	Other disorders of arteries and arterioles
I78	I70-I79	Diseases of capillaries
I79	I70-I79	Disorders of arteries, arterioles and capillaries in diseases classified elsewhere
I80	I80-I89	Phlebitis and thrombophlebitis
I81	I80-I89	Portal vein thrombosis
I82	I80-I89	Other venous embolism and thrombosis
I83	I80-I89	Varicose veins of lower extremities
I85	I80-I89	Esophageal varices
I86	I80-I89	Varicose veins of other sites
I87	I80-I89	Other disorders of veins
I88	I80-I89	Nonspecific lymphadenitis
I89	I80-I89	Other noninfective disorders of lymphatic vessels and lymph nodes
I95	I95-I99	Hypotension
I96	I95-I99	Gangrene, not elsewhere classified
I97	I95-I99	Intraoperative and postprocedural complications and disorders of circulatory system, not elsewhere classified
I99	I95-I99	Other and unspecified disorders of circulatory system
J00	J00-J06	Acute nasopharyngitis [common cold]
J01	J00-J06	Acute sinusitis
J02	J00-J06	Acute pharyngitis
J03	J00-J06	Acute tonsillitis
J04	J00-J06	Acute laryngitis and tracheitis
J05	J00-J06	Acute obstructive laryngitis [croup] and epiglottitis
J06	J00-J06	Acute upper respiratory infections of multiple and unspecified sites
J09	J09-J18	Influenza due to certain identified influenza viruses
J10	J09-J18	Influenza due to other identified influenza virus
J11	J09-J18	Influenza due to unidentified influenza virus
J12	J09-J18	Viral pneumonia, not elsewhere classified
J13	J09-J18	Pneumonia due to Streptococcus pneumoniae
J14	J09-J18	Pneumonia due to Hemophilus influenzae
J15	J09-J18	Bacterial pneumonia, not elsewhere classified
J16	J09-J18	Pneumonia due to other infectious organisms, not elsewhere classified
J17	J09-J18	Pneumonia in diseases classified elsewhere
J18	J09-J18	Pneumonia, unspecified organism
J20	J20-J22	Acute bronchitis
J21	J20-J22	Acute bronchiolitis
J22	J20-J22	Unspecified acute lower respiratory infection
J30	J30-J39	Vasomotor and allergic rhinitis
J31	J30-J39	Chronic rhinitis, nasopharyngitis and pharyngitis
J32	J30-J39	Chronic sinusitis
J33	J30-J39	Nasal polyp
J34	J30-J39	Other and unspecified disorders of nose and nasal sinuses
J35	J30-J39	Chronic diseases of tonsils and adenoids
J36	J30-J39	Peritonsillar abscess
J37	J30-J39	Chronic laryngitis and laryngotracheitis
J38	J30-J39	Diseases of vocal cords and larynx, not elsewhere classified
J39	J30-J39	Other diseases of upper respiratory tract
J40	J40-J4A	Bronchitis, not specified as acute or chronic
J41	J40-J4A	Simple and mucopurulent chronic bronchitis
J42	J40-J4A	Unspecified chronic bronchitis
J43	J40-J4A	Emphysema
J44	J40-J4A	Other chronic obstructive pulmonary disease
J4A	J40-J4A	Chronic lung allograft dysfunction
J45	J40-J4A	Asthma
J47	J40-J4A	Bronchiectasis
J60	J60-J70	Coalworker's pneumoconiosis
J61	J60-J70	Pneumoconiosis due to asbestos and other mineral fibers
J62	J60-J70	Pneumoconiosis due to dust containing silica
J63	J60-J70	Pneumoconiosis due to other inorganic dusts
J64	J60-J70	Unspecified pneumoconiosis
J65	J60-J70	Pneumoconiosis associated with tuberculosis
J66	J60-J70	Airway disease due to specific organic dust
J67	J60-J70	Hypersensitivity pneumonitis due to organic dust
J68	J60-J70	Respiratory conditions due to inhalation of chemicals, gases, fumes and vapors
J69	J60-J70	Pneumonitis due to solids and liquids
J70	J60-J70	Respiratory conditions due to other external agents
J80	J80-J84	Acute respiratory distress syndrome
J81	J80-J84	Pulmonary edema
J82	J80-J84	Pulmonary eosinophilia, not elsewhere classified
J84	J80-J84	Other interstitial pulmonary diseases
J85	J85-J86	Abscess of lung and mediastinum
J86	J85-J86	Pyothorax
J90	J90-J94	Pleural effusion, not elsewhere classified
J91	J90-J94	Pleural effusion in conditions classified elsewhere
J92	J90-J94	Pleural plaque
J93	J90-J94	Pneumothorax and air leak
J94	J90-J94	Other pleural conditions
J95	J95	Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified
J96	J96-J99	Respiratory failure, not elsewhere classified
J98	J96-J99	Other respiratory disorders
J99	J96-J99	Respiratory disorders in diseases classified elsewhere
K00	K00-K14	Disorders of tooth development and eruption
K01	K00-K14	Embedded and impacted teeth
K02	K00-K14	Dental caries
K03	K00-K14	Other diseases of hard tissues of teeth
K04	K00-K14	Diseases of pulp and periapical tissues
K05	K00-K14	Gingivitis and periodontal diseases
K06	K00-K14	Other disorders of gingiva and edentulous alveolar ridge
K08	K00-K14	Other disorders of teeth and supporting structures
K09	K00-K14	Cysts of oral region, not elsewhere classified
K11	K00-K14	Diseases of salivary glands
K12	K00-K14	Stomatitis and related lesions
K13	K00-K14	Other diseases of lip and oral mucosa
K14	K00-K14	Diseases of tongue
K20	K20-K31	Esophagitis
K21	K20-K31	Gastro-esophageal reflux disease
K22	K20-K31	Other diseases of esophagus
K23	K20-K31	Disorders of esophagus in diseases classified elsewhere
K25	K20-K31	Gastric ulcer
K26	K20-K31	Duodenal ulcer
K27	K20-K31	Peptic ulcer, site unspecified
K28	K20-K31	Gastrojejunal ulcer
K29	K20-K31	Gastritis and duodenitis
K30	K20-K31	Functional dyspepsia
K31	K20-K31	Other diseases of stomach and duodenum
K35	K35-K38	Acute appendicitis
K36	K35-K38	Other appendicitis
K37	K35-K38	Unspecified appendicitis
K38	K35-K38	Other diseases of appendix
K40	K40-K46	Inguinal hernia
K41	K40-K46	Femoral hernia
K42	K40-K46	Umbilical hernia
K43	K40-K46	Ventral hernia
K44	K40-K46	Diaphragmatic hernia
K45	K40-K46	Other abdominal hernia
K46	K40-K46	Unspecified abdominal hernia
K50	K50-K52	Crohn's disease [regional enteritis]
K51	K50-K52	Ulcerative colitis
K52	K50-K52	Other and unspecified noninfective gastroenteritis and colitis
K55	K55-K64	Vascular disorders of intestine
K56	K55-K64	Paralytic ileus and intestinal obstruction without hernia
K57	K55-K64	Diverticular disease of intestine
K58	K55-K64	Irritable bowel syndrome
K59	K55-K64	Other functional intestinal disorders
K60	K55-K64	Fissure and fistula of anal and rectal regions
K61	K55-K64	Abscess of anal and rectal regions
K62	K55-K64	Other diseases of anus and rectum
K63	K55-K64	Other diseases of intestine
K64	K55-K64	Hemorrhoids and perianal venous thrombosis
K65	K65-K68	Peritonitis
K66	K65-K68	Other disorders of peritoneum
K67	K65-K68	Disorders of peritoneum in infectious diseases classified elsewhere
K68	K65-K68	Disorders of retroperitoneum
K70	K70-K77	Alcoholic liver disease
K71	K70-K77	Toxic liver disease
K72	K70-K77	Hepatic failure, not elsewhere classified
K73	K70-K77	Chronic hepatitis, not elsewhere classified
K74	K70-K77	Fibrosis and cirrhosis of liver
K75	K70-K77	Other inflammatory liver diseases
K76	K70-K77	Other diseases of liver
K77	K70-K77	Liver disorders in diseases classified elsewhere
K80	K80-K87	Cholelithiasis
K81	K80-K87	Cholecystitis
K82	K80-K87	Other diseases of gallbladder
K83	K80-K87	Other diseases of biliary tract
K85	K80-K87	Acute pancreatitis
K86	K80-K87	Other diseases of pancreas
K87	K80-K87	Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere
K90	K90-K95	Intestinal malabsorption
K91	K90-K95	Intraoperative and postprocedural complications and disorders of digestive system, not elsewhere classified
K92	K90-K95	Other diseases of digestive system
K94	K90-K95	Complications of artificial openings of the digestive system
K95	K90-K95	Complications of bariatric procedures
L00	L00-L08	Staphylococcal scalded skin syndrome
L01	L00-L08	Impetigo
L02	L00-L08	Cutaneous abscess, furuncle and carbuncle
L03	L00-L08	Cellulitis and acute lymphangitis
L04	L00-L08	Acute lymphadenitis
L05	L00-L08	Pilonidal cyst and sinus
L08	L00-L08	Other local infections of skin and subcutaneous tissue
L10	L10-L14	Pemphigus
L11	L10-L14	Other acantholytic disorders
L12	L10-L14	Pemphigoid
L13	L10-L14	Other bullous disorders
L14	L10-L14	Bullous disorders in diseases classified elsewhere
L20	L20-L30	Atopic dermatitis
L21	L20-L30	Seborrheic dermatitis
L22	L20-L30	Diaper dermatitis
L23	L20-L30	Allergic contact dermatitis
L24	L20-L30	Irritant contact dermatitis
L25	L20-L30	Unspecified contact dermatitis
L26	L20-L30	Exfoliative dermatitis
L27	L20-L30	Dermatitis due to substances taken internally
L28	L20-L30	Lichen simplex chronicus and prurigo
L29	L20-L30	Pruritus
L30	L20-L30	Other and unspecified dermatitis
L40	L40-L45	Psoriasis
L41	L40-L45	Parapsoriasis
L42	L40-L45	Pityriasis rosea
L43	L40-L45	Lichen planus
L44	L40-L45	Other papulosquamous disorders
L45	L40-L45	Papulosquamous disorders in diseases classified elsewhere
L49	L49-L54	Exfoliation due to erythematous conditions according to extent of body surface involved
L50	L49-L54	Urticaria
L51	L49-L54	Erythema multiforme
L52	L49-L54	Erythema nodosum
L53	L49-L54	Other erythematous conditions
L54	L49-L54	Erythema in diseases classified elsewhere
L55	L55-L59	Sunburn
L56	L55-L59	Other acute skin changes due to ultraviolet radiation
L57	L55-L59	Skin changes due to chronic exposure to nonionizing radiation
L58	L55-L59	Radiodermatitis
L59	L55-L59	Other disorders of skin and subcutaneous tissue related to radiation
L60	L60-L75	Nail disorders
L62	L60-L75	Nail disorders in diseases classified elsewhere
L63	L60-L75	Alopecia areata
L64	L60-L75	Androgenic alopecia
L65	L60-L75	Other nonscarring hair loss
L66	L60-L75	Cicatricial alopecia [scarring hair loss]
L67	L60-L75	Hair color and hair shaft abnormalities
L68	L60-L75	Hypertrichosis
L70	L60-L75	Acne
L71	L60-L75	Rosacea
L72	L60-L75	Follicular cysts of skin and subcutaneous tissue
L73	L60-L75	Other follicular disorders
L74	L60-L75	Eccrine sweat disorders
L75	L60-L75	Apocrine sweat disorders
L76	L76	Intraoperative and postprocedural complications of skin and subcutaneous tissue
L80	L80-L99	Vitiligo
L81	L80-L99	Other disorders of pigmentation
L82	L80-L99	Seborrheic keratosis
L83	L80-L99	Acanthosis nigricans
L84	L80-L99	Corns and callosities
L85	L80-L99	Other epidermal thickening
L86	L80-L99	Keratoderma in diseases classified elsewhere
L87	L80-L99	Transepidermal elimination disorders
L88	L80-L99	Pyoderma gangrenosum
L89	L80-L99	Pressure ulcer
L90	L80-L99	Atrophic disorders of skin
L91	L80-L99	Hypertrophic disorders of skin
L92	L80-L99	Granulomatous disorders of skin and subcutaneous tissue
L93	L80-L99	Lupus erythematosus
L94	L80-L99	Other localized connective tissue disorders
L95	L80-L99	Vasculitis limited to skin, not elsewhere classified
L97	L80-L99	Non-pressure chronic ulcer of lower limb, not elsewhere classified
L98	L80-L99	Other disorders of skin and subcutaneous tissue, not elsewhere classified
L99	L80-L99	Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
M00	M00-M02	Pyogenic arthritis
M01	M00-M02	Direct infections of joint in infectious and parasitic diseases classified elsewhere
M02	M00-M02	Postinfective and reactive arthropathies
M04	M04	Autoinflammatory syndromes
M05	M05-M14	Rheumatoid arthritis with rheumatoid factor
M06	M05-M14	Other rheumatoid arthritis
M07	M05-M14	Enteropathic arthropathies
M08	M05-M14	Juvenile arthritis
M1A	M05-M14	Chronic gout
M10	M05-M14	Gout
M11	M05-M14	Other crystal arthropathies
M12	M05-M14	Other and unspecified arthropathy
M13	M05-M14	Other arthritis
M14	M05-M14	Arthropathies in other diseases classified elsewhere
M15	M15-M19	Polyosteoarthritis
M17	M15-M19	Osteoarthritis of knee
M18	M15-M19	Osteoarthritis of first carpometacarpal joint
M19	M15-M19	Other and unspecified osteoarthritis
M20	M20-M25	Acquired deformities of fingers and toes
M21	M20-M25	Other acquired deformities of limbs
M22	M20-M25	Disorder of patella
M23	M20-M25	Internal derangement of knee
M24	M20-M25	Other specific joint derangements
M25	M20-M25	Other joint disorder, not elsewhere classified
M26	M26-M27	Dentofacial anomalies [including malocclusion]
M27	M26-M27	Other diseases of jaws
M30	M30-M36	Polyarteritis nodosa and related conditions
M31	M30-M36	Other necrotizing vasculopathies
M32	M30-M36	Systemic lupus erythematosus (SLE)
M33	M30-M36	Dermatopolymyositis
M34	M30-M36	Systemic sclerosis [scleroderma]
M35	M30-M36	Other systemic involvement of connective tissue
M36	M30-M36	Systemic disorders of connective tissue in diseases classified elsewhere
M40	M40-M43	Kyphosis and lordosis
M41	M40-M43	Scoliosis
M42	M40-M43	Spinal osteochondrosis
M43	M40-M43	Other deforming dorsopathies
M45	M45-M49	Ankylosing spondylitis
M46	M45-M49	Other inflammatory spondylopathies
M47	M45-M49	Spondylosis
M48	M45-M49	Other spondylopathies
M49	M45-M49	Spondylopathies in diseases classified elsewhere
M50	M50-M54	Cervical disc disorders
M51	M50-M54	Thoracic, thoracolumbar, and lumbosacral intervertebral disc disorders
M53	M50-M54	Other and unspecified dorsopathies, not elsewhere classified
M54	M50-M54	Dorsalgia
M60	M60-M63	Myositis
M61	M60-M63	Calcification and ossification of muscle
M62	M60-M63	Other disorders of muscle
M63	M60-M63	Disorders of muscle in diseases classified elsewhere
M65	M65-M67	Synovitis and tenosynovitis
M66	M65-M67	Spontaneous rupture of synovium and tendon
M67	M65-M67	Other disorders of synovium and tendon
M70	M70-M79	Soft tissue disorders related to use, overuse and pressure
M71	M70-M79	Other bursopathies
M72	M70-M79	Fibroblastic disorders
M75	M70-M79	Shoulder lesions
M76	M70-M79	Enthesopathies, lower limb, excluding foot
M77	M70-M79	Other enthesopathies
M79	M70-M79	Other and unspecified soft tissue disorders, not elsewhere classified
M80	M80-M85	Osteoporosis with current pathological fracture
M81	M80-M85	Osteoporosis without current pathological fracture
M83	M80-M85	Adult osteomalacia
M84	M80-M85	Disorder of continuity of bone
M85	M80-M85	Other disorders of bone density and structure
M86	M86-M90	Osteomyelitis
M87	M86-M90	Osteonecrosis
M88	M86-M90	Osteitis deformans [Paget's disease of bone]
M89	M86-M90	Other disorders of bone
M90	M86-M90	Osteopathies in diseases classified elsewhere
M91	M91-M94	Juvenile osteochondrosis of hip and pelvis
M92	M91-M94	Other juvenile osteochondrosis
M93	M91-M94	Other osteochondropathies
M94	M91-M94	Other disorders of cartilage
M95	M95	Other acquired deformities of musculoskeletal system and connective tissue
M96	M96	Intraoperative and postprocedural complications and disorders of musculoskeletal system, not elsewhere classified
M97	M97	Periprosthetic fracture around internal prosthetic joint
M99	M99	Biomechanical lesions, not elsewhere classified
N00	N00-N08	Acute nephritic syndrome
N01	N00-N08	Rapidly progressive nephritic syndrome
N02	N00-N08	Recurrent and persistent hematuria
N03	N00-N08	Chronic nephritic syndrome
N04	N00-N08	Nephrotic syndrome
N05	N00-N08	Unspecified nephritic syndrome
N06	N00-N08	Isolated proteinuria with specified morphological lesion
N07	N00-N08	Hereditary nephropathy, not elsewhere classified
N08	N00-N08	Glomerular disorders in diseases classified elsewhere
N10	N10-N16	Acute pyelonephritis
N11	N10-N16	Chronic tubulo-interstitial nephritis
N12	N10-N16	Tubulo-interstitial nephritis, not specified as acute or chronic
N13	N10-N16	Obstructive and reflux uropathy
N14	N10-N16	Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions
N15	N10-N16	Other renal tubulo-interstitial diseases
N16	N10-N16	Renal tubulo-interstitial disorders in diseases classified elsewhere
N17	N17-N19	Acute kidney failure
N18	N17-N19	Chronic kidney disease (CKD)
N19	N17-N19	Unspecified kidney failure
N20	N20-N23	Calculus of kidney and ureter
N21	N20-N23	Calculus of lower urinary tract
N22	N20-N23	Calculus of urinary tract in diseases classified elsewhere
N23	N20-N23	Unspecified renal colic
N25	N25-N29	Disorders resulting from impaired renal tubular function
N26	N25-N29	Unspecified contracted kidney
N27	N25-N29	Small kidney of unknown cause
N28	N25-N29	Other disorders of kidney and ureter, not elsewhere classified
N29	N25-N29	Other disorders of kidney and ureter in diseases classified elsewhere
N30	N30-N39	Cystitis
N31	N30-N39	Neuromuscular dysfunction of bladder, not elsewhere classified
N32	N30-N39	Other disorders of bladder
N33	N30-N39	Bladder disorders in diseases classified elsewhere
N34	N30-N39	Urethritis and urethral syndrome
N35	N30-N39	Urethral stricture
N36	N30-N39	Other disorders of urethra
N37	N30-N39	Urethral disorders in diseases classified elsewhere
N39	N30-N39	Other disorders of urinary system
N40	N40-N53	Benign prostatic hyperplasia
N41	N40-N53	Inflammatory diseases of prostate
N42	N40-N53	Other and unspecified disorders of prostate
N43	N40-N53	Hydrocele and spermatocele
N44	N40-N53	Noninflammatory disorders of testis
N45	N40-N53	Orchitis and epididymitis
N46	N40-N53	Male infertility
N47	N40-N53	Disorders of prepuce
N48	N40-N53	Other disorders of penis
N49	N40-N53	Inflammatory disorders of male genital organs, not elsewhere classified
N50	N40-N53	Other and unspecified disorders of male genital organs
N51	N40-N53	Disorders of male genital organs in diseases classified elsewhere
N52	N40-N53	Male erectile dysfunction
N53	N40-N53	Other male sexual dysfunction
N60	N60-N65	Benign mammary dysplasia
N61	N60-N65	Inflammatory disorders of breast
N62	N60-N65	Hypertrophy of breast
N63	N60-N65	Unspecified lump in breast
N64	N60-N65	Other disorders of breast
N65	N60-N65	Deformity and disproportion of reconstructed breast
N70	N70-N77	Salpingitis and oophoritis
N71	N70-N77	Inflammatory disease of uterus, except cervix
N72	N70-N77	Inflammatory disease of cervix uteri
N73	N70-N77	Other female pelvic inflammatory diseases
N74	N70-N77	Female pelvic inflammatory disorders in diseases classified elsewhere
N75	N70-N77	Diseases of Bartholin's gland
N76	N70-N77	Other inflammation of vagina and vulva
N77	N70-N77	Vulvovaginal ulceration and inflammation in diseases classified elsewhere
N80	N80-N98	Endometriosis
N81	N80-N98	Female genital prolapse
N82	N80-N98	Fistulae involving female genital tract
N83	N80-N98	Noninflammatory disorders of ovary, fallopian tube and broad ligament
N84	N80-N98	Polyp of female genital tract
N85	N80-N98	Other noninflammatory disorders of uterus, except cervix
N86	N80-N98	Erosion and ectropion of cervix uteri
N87	N80-N98	Dysplasia of cervix uteri
N88	N80-N98	Other noninflammatory disorders of cervix uteri
N89	N80-N98	Other noninflammatory disorders of vagina
N90	N80-N98	Other noninflammatory disorders of vulva and perineum
N91	N80-N98	Absent, scanty and rare menstruation
N92	N80-N98	Excessive, frequent and irregular menstruation
N93	N80-N98	Other abnormal uterine and vaginal bleeding
N94	N80-N98	Pain and other conditions associated with female genital organs and menstrual cycle
N95	N80-N98	Menopausal and other perimenopausal disorders
N96	N80-N98	Recurrent pregnancy loss
N97	N80-N98	Female infertility
N98	N80-N98	Complications associated with artificial fertilization
N99	N99	Intraoperative and postprocedural complications and disorders of genitourinary system, not elsewhere classified
O00	O00-O08	Ectopic pregnancy
O01	O00-O08	Hydatidiform mole
O02	O00-O08	Other abnormal products of conception
O03	O00-O08	Spontaneous abortion
O04	O00-O08	Complications following (induced) termination of pregnancy
O07	O00-O08	Failed attempted termination of pregnancy
O08	O00-O08	Complications following ectopic and molar pregnancy
O09	O09	Supervision of high risk pregnancy
O10	O10-O16	Pre-existing hypertension complicating pregnancy, childbirth and the puerperium
O11	O10-O16	Pre-existing hypertension with pre-eclampsia
O12	O10-O16	Gestational [pregnancy-induced] edema and proteinuria without hypertension
O13	O10-O16	Gestational [pregnancy-induced] hypertension without significant proteinuria
O14	O10-O16	Pre-eclampsia
O15	O10-O16	Eclampsia
O16	O10-O16	Unspecified maternal hypertension
O20	O20-O29	Hemorrhage in early pregnancy
O21	O20-O29	Excessive vomiting in pregnancy
O22	O20-O29	Venous complications and hemorrhoids in pregnancy
O23	O20-O29	Infections of genitourinary tract in pregnancy
O24	O20-O29	Diabetes mellitus in pregnancy, childbirth, and the puerperium
O25	O20-O29	Malnutrition in pregnancy, childbirth and the puerperium
O26	O20-O29	Maternal care for other conditions predominantly related to pregnancy
O28	O20-O29	Abnormal findings on antenatal screening of mother
O29	O20-O29	Complications of anesthesia during pregnancy
O30	O30-O48	Multiple gestation
O31	O30-O48	Complications specific to multiple gestation
O32	O30-O48	Maternal care for malpresentation of fetus
O33	O30-O48	Maternal care for disproportion
O34	O30-O48	Maternal care for abnormality of pelvic organs
O35	O30-O48	Maternal care for known or suspected fetal abnormality and damage
O36	O30-O48	Maternal care for other fetal problems
O40	O30-O48	Polyhydramnios
O41	O30-O48	Other disorders of amniotic fluid and membranes
O42	O30-O48	Premature rupture of membranes
O43	O30-O48	Placental disorders
O44	O30-O48	Placenta previa
O45	O30-O48	Premature separation of placenta [abruptio placentae]
O46	O30-O48	Antepartum hemorrhage, not elsewhere classified
O47	O30-O48	False labor
O48	O30-O48	Late pregnancy
O60	O60-O77	Preterm labor
O61	O60-O77	Failed induction of labor
O62	O60-O77	Abnormalities of forces of labor
O63	O60-O77	Long labor
O64	O60-O77	Obstructed labor due to malposition and malpresentation of fetus
O65	O60-O77	Obstructed labor due to maternal pelvic abnormality
O66	O60-O77	Other obstructed labor
O67	O60-O77	Labor and delivery complicated by intrapartum hemorrhage, not elsewhere classified
Q06	Q00-Q07	Other congenital malformations of spinal cord
O68	O60-O77	Labor and delivery complicated by abnormality of fetal acid-base balance
O69	O60-O77	Labor and delivery complicated by umbilical cord complications
O70	O60-O77	Perineal laceration during delivery
O71	O60-O77	Other obstetric trauma
O72	O60-O77	Postpartum hemorrhage
O73	O60-O77	Retained placenta and membranes, without hemorrhage
O74	O60-O77	Complications of anesthesia during labor and delivery
O75	O60-O77	Other complications of labor and delivery, not elsewhere classified
O76	O60-O77	Abnormality in fetal heart rate and rhythm complicating labor and delivery
O77	O60-O77	Other fetal stress complicating labor and delivery
O80	O80-O82	Encounter for full-term uncomplicated delivery
O82	O80-O82	Encounter for cesarean delivery without indication
O85	O85-O92	Puerperal sepsis
O86	O85-O92	Other puerperal infections
O87	O85-O92	Venous complications and hemorrhoids in the puerperium
O88	O85-O92	Obstetric embolism
O89	O85-O92	Complications of anesthesia during the puerperium
O90	O85-O92	Complications of the puerperium, not elsewhere classified
O91	O85-O92	Infections of breast associated with pregnancy, the puerperium and lactation
O92	O85-O92	Other disorders of breast and disorders of lactation associated with pregnancy and the puerperium
O94	O94-O9A	Sequelae of complication of pregnancy, childbirth, and the puerperium
O98	O94-O9A	Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium
O99	O94-O9A	Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium
O9A	O94-O9A	Maternal malignant neoplasms, traumatic injuries and abuse classifiable elsewhere but complicating pregnancy, childbirth and the puerperium
P00	P00-P04	Newborn affected by maternal conditions that may be unrelated to present pregnancy
P01	P00-P04	Newborn affected by maternal complications of pregnancy
P02	P00-P04	Newborn affected by complications of placenta, cord and membranes
P03	P00-P04	Newborn affected by other complications of labor and delivery
P04	P00-P04	Newborn affected by noxious substances transmitted via placenta or breast milk
P05	P05-P08	Disorders of newborn related to slow fetal growth and fetal malnutrition
P07	P05-P08	Disorders of newborn related to short gestation and low birth weight, not elsewhere classified
P08	P05-P08	Disorders of newborn related to long gestation and high birth weight
P09	P09	Abnormal findings on neonatal screening
P10	P10-P15	Intracranial laceration and hemorrhage due to birth injury
P11	P10-P15	Other birth injuries to central nervous system
P12	P10-P15	Birth injury to scalp
P13	P10-P15	Birth injury to skeleton
P14	P10-P15	Birth injury to peripheral nervous system
P15	P10-P15	Other birth injuries
P19	P19-P29	Metabolic acidemia in newborn
