licence_number	name	licensee	address	pharmacies_types	town	expiry_date	
P01-P1816-2024	CAREXPRESS PHARMACY	CAREXPRESS PHARMACY (PVT) LTD	35 LOBENGULA ROAD SOUTHERTON	Pharmacy in any other location	HARARE	09/30/2025	
P01-P1580-2024	CAREXPRESS PHARMACY	CAREXPRESS PHARMACY (PVT) LTD	57 CENTRAL AVENUE	Pharmacy in any other location	HARARE	02/28/2025	
I03-P0114-2023	CARNAUD METAL BOX	CARNAUD METAL BOX ZIMBABWE	"35/36 AUCKLAND & HIGHFIELD RD, SOUTHERTON"	Clinics: Class C	HARARE	09/30/2024	
P06-P0166-2024	CENTENARY PHARMACY	RYMON (PVT) LTD	239 GATU BUSS. CENTRE	Pharmacy in rural area	CENTENARY	06/30/2025	
P04-P1167-2024	CENTRAL RESEARCH PHARMACY	UZ-CTRC-CLINICAL TRIAL UNIT	10 ROUTLEDGE STREET	Pharmacies: Research	HARARE	01/31/2025	
D01-P0030-2023	CENTRE FOR DIABETES ZIMBABWE	CENTRE FOR DIABETES ZIMBABWE (PVT) LTD	40 278 SIMBARASHE CLOSE BELVEDERE	Dispensing medical practice	HARARE	06/30/2024	
D01-P0033-2023	CENTRE OF DIABETES ZIMBABWE	Dr JOHN C. MANGWIRO	"40 278 SIMBARASHE CLOSE, BELVEDERE"	Dispensing medical practice	HARARE	06/30/2024	
D01-P0032-2023	CENTRE OF DIABETES ZIMBABWE	Dr JOHN C. MANGWIRO		Dispensing medical practice	HARARE	06/30/2024	
P01-P2013-2024	CENTREPOINT PHARMACY	CENTREPOINT PHARMACY (PVT) LTD	148 SAMORA MACHEL AVENUE	Pharmacy in any other location	HARARE	05/31/2025	
P01-P1758-2024	CHACHACHA PHARMACY	PHARMACHOICE ZIMBABWE (PVT) LTD	CHACHACHA JUNCTIONMALL NO 85	Pharmacy in any other location	SHURUGWI	09/30/2025	
D01-P0027-2023	CHAGONDA E. SURGERY	EDWARD CHAGONDA (Dr)	STD 30/31 GILINGHAM	Dispensing medical practice	HARARE	06/30/2024	
P05-P0266-2023	CHANNEL PHARMACY	CHANNEL PHARMACEUTICALS (PVT) LTD	294 E.D. MNANGAGWA STREET	Pharmacy located in the CBD	MASVINGO	08/31/2025	
P05-P1679-2024	CHARTERBRIDGE PHARMACY	CHARTERBRIDGE INVESTMENTS (PVT) LTD	SHOP 6 STD 5048 37-39 R. MUGABE MTALI T/SHIP	Pharmacy located in the CBD	MUTARE	09/30/2025	
P01-P1855-2024	CHECHECHE ANGEL PHARMACY	KRYSTAL CLEAR INCORPORATED PLTD	STAND 354 CHECHECHE GROWTH POINT	Pharmacy in any other location	CHECHECHE	06/30/2025	
P01-P1628-2024	CHEMAYDE PHARMACY	CHEMAYDE PHARMACY (PVT) LTD	"15 WINDEMERE LODGE, MAZOWE STREET"	Pharmacy in any other location	HARARE	01/31/2025	
W01-P0156-2024	CHEMs AFRICA	CHEMs AFRICA (PVT) LTD	10 SPUN RD ADBENNIE	Wholesalers	HARARE	06/30/2025	
I02-P0208-2024	CHIBONDO CLINIC.	ZESA POWER COMPANY	302 CHIBONDO	Clinics: Class B	HWANGE	09/30/2024	
I02-P0205-2024	CHIBUKU BREWERIES	DELTA BERVERAGES (PVT) LTD	10 SEKE MUTEMA	Clinics: Class B	CHITUNGWIZA	09/30/2024	
P06-P1506-2024	CHIKOMBEDZI PHARMACY	CHIKOMBEDZI PHARMACY	383	Pharmacy in rural area	CHIREDZI	02/28/2025	
P01-P1595-2024	CHIKONOHONO COMMUNITY PHARMACY	SANTIAGO PHARMACIES (PVT) LTD	"SHOP 2 PFUNGWADZAKANAKA SHOPS, CHIKONOHONO"	Pharmacy in any other location	CHINHOYI	08/31/2025	
P01-P1665-2024	CHIMANIMANI PHARMACY	CHIMANIMANI PHARMACY (PVT) LTD	SHOP 15B NHEDZIWA BUSINESS CENTRE	Pharmacy in any other location	CHIMANIMANI	07/31/2025	
P01-P1490-2024	CHIMHANDA PHARMACY	PITTSBURGH TRADING PBC	STAND NO. 407 CR	Pharmacy in any other location	RUSHINGA	02/28/2025	
P01-P1491-2024	CHIMHANDA PHARMACY	PITTSBURGH TRADING PBC	STD NO 407 CR	Pharmacy in any other location	RUSHINGA	02/28/2025	
D01-P0039-2023	CHIMUKA ACRUM (UMVOMVO POLYCLINIC)	CHIMUKA ACRUM Dr	24024 KAGUVI SHOPPING CENTRE	Dispensing medical practice	520	06/30/2024	
P01-P1700-2024	CHINHOYI RANK PHARMACY	FAREPLAN ENTEPRISES (PVT) LTD	STAND 15 SHOP 3	Pharmacy in any other location	CHINHOYI	01/31/2025	
P05-P1293-2024	CHINHOYI STREET PHARMACY	HEMABEN INVESTMENTS (PVT) LTD	151 CHINHOYI STREET	Pharmacy located in the CBD	HARARE	09/30/2025	
P01-P1772-2024	CHINHOYI TOWN PHARMACY	FAREPLAN ENTERPRISES (PVT) LTD	SHOP 2 STAND 3 ROBSON MANYIKA AVENUE	Pharmacy in any other location	CHINHOYI	04/30/2025	
P01-P1374-2024	CHINHOYI TOWN PHARMACY	FAREPLAN ENTERPRISES (PVT) LTD	STD NO6 SHOP NO 3 DILMITIS TRUST BLD	Pharmacy in any other location	CHINHOYI	01/31/2025	
I02-P0224-2024	CHINHOYI UNIVERSITY OF TECHNOLOGY	CHINHOYI UNIVERSITY OF TECHNOLOGY	CHINHOYI UNIVERSITY	Clinics: Class B	CHINHOYI	04/30/2025	
P01-P1694-2024	CHIPADZE PHARMACY	FAITH PHARMACY (PVT) LTD	"STAND 1197 CHIPADZE SHOPPING CENTRE, CHIPADZE"	Pharmacy in any other location	BINDURA	06/30/2025	
I03-P0137-2023	CHIPINGE NEW START CENTRE	POPULATION SOLUTIONS FOR HEALTH	208 PHILLIPS AVENUE	Clinics: Class C	CHIPINGE	09/30/2024	
P01-P1412-2024	CHIPINGE PHARMACY	ANTANA PHARMACEUTICALS ( PVT) LTD	STAND 324 MAIN STREET/6TH AVENUE	Pharmacy in any other location	CHIPINGE	09/30/2025	
P01-P1794-2024	CHIS-CARE PHARMACY	CHIS-CARE PHARMACY (PVT) LTD	24564 ZIYAPHAPHA DrIVE PUMULA SOUTH	Pharmacy in any other location	BULAWAYO	06/30/2025	
D01-P0016-2023	CHITAMBO SURGERY	CHITAMBO LAZARUS (Dr)	STAND 261 COMMERCIAL ST	Dispensing medical practice	522	06/30/2024	
P01-P1182-2024	CHITUBU PHARMACY	RUZIVE INVESTMENTS (PVT) LTD	"7055 CHITUBU SHOPPING CENTRE, GLEN NORAH A"	Pharmacy in any other location	HARARE	01/31/2025	
I02-P0162-2023	CHITUNGWIZA NEW START	POPULATION SOLUTIONS FOR HEALTH	SHOP 32 CHITUNGWIZA TOWN CENTRE	Clinics: Class B	CHITUNGWIZA	09/30/2024	
I02-P0416-2023	CHITUNGWIZA NEW START	POPULATION SOLUTIONS FOR HEALTH	SHOP 26 CHITUNGWIZA TOWN CENTRE	Clinics: Class B	CHITUNGWIZA	09/30/2024	
I02-P0125-2023	CHITUNGWIZA NEW START CENTRE	POPULATION SERVICES INTERNATIONAL ZIMBABWE	SHOP 26 TOWN CENTRE	Clinics: Class B	CHITUNGWIZA	09/30/2024	
P01-P1880-2024	CHITUNGWIZA PHARMACY	CHITUNGWIZA PHARMACY (PVT) LTD	"STAND 223,MAKONI SHOPPING CENTRE"	Pharmacy in any other location	CHITUNGWIZA	08/31/2025	
P01-P1904-2024	CHIYEDZA PHARMACY	PHOENIX PHARMACY (PVT) LTD	31640 UNIT G. MAKONI SHOPPING CENTRE	Pharmacy in any other location	CHITUNGWIZA	02/28/2025	
P05-P1404-2024	CHLORIC PHARMACY	CHLORIC PHARMACY (PVT) LTD	SHOP 3 94 CHINHOYI STREET	Pharmacy located in the CBD	HARARE	01/31/2025	
P01-P1689-2024	CHOICE 10 PHARMACY	CHOICE PHARMACY (PVT) LTD	13694 NKULUMANE	Pharmacy in any other location	BULAWAYO	04/30/2025	
P01-P1659-2024	CHOICE PARK PHARMACY	CHOICE PHARMACY (PVT) LTD	25384 COWDrAY PARK	Pharmacy in any other location	BULAWAYO	10/31/2025	
P05-P1511-2024	CHOICE PHARMACY	CHOICE PHARMACY (PVT) LTD	SHOP 4 74 ROBERT MUGABE WAY	Pharmacy located in the CBD	BULAWAYO	09/30/2025	
P01-P1285-2024	CHRONIC CARE PHARMACY	ONCORENAL MENTAL PHARMACY (PVT) LTD	"14 ROWLAND SQUARE, MILTON PARK"	Pharmacy in any other location	HARARE	10/31/2025	
P01-P1315-2024	CIMAS 35 FIVE AVENUE PHARMACY	CIMAS 35 FIVE AVENUE (PVT) LTD	STD NO. 1356 35 FIVE AVENUE	Pharmacy in any other location	HARARE	09/30/2025	
P01-P1249-2024	CIMAS BORROWDALE PARK OFFICE PHARMACY	CIMAS HEALTHCARE PHARMACIES (PVT) LTD	EAST BLOCK	Pharmacy in any other location	HARARE	08/31/2025	
P02-P1312-2024	CIMAS CLINIC - MASVINGO	CIMAS HEALTH GROUP (PVT) LTD	19 HOFMEYER STREET	Pharmacies: Restricted	MASVINGO	01/31/2025	
W01-P0157-2024	CIMAS DISTRIBUTION CENTRE	CIMAS HEALTH GROUP (PVT) LTD	"61-63 PLYMOUTH RD, SOUTHERTON"	Wholesalers	HARARE	03/31/2025	
P01-P1309-2024	CIMAS FIFE AVENUE PHARMACY	CIMAS HEALTH GROUP	SHOP 4&5 FIFE AVENUE SHOPPING CENTER HARARE	Pharmacy in any other location	HARARE	01/31/2025	
P05-P0872-2023	CIMAS HEALTHCARE CLINIC	CIMAS HEALTH GROUP (PVT) LTD	111 KWAME NKRUME / FOURTH STR	Pharmacies: Restricted	HARARE	01/31/2025	
P02-P1318-2024	CIMAS HEALTHCARE CLINIC	CIMAS HEALTH GROUP (PVT) LTD	NO. 175 CHINHOYI STREET	Pharmacies: Restricted	HARARE	04/30/2025	
P02-P1280-2024	CIMAS HEALTHCARE CLINIC - BULAWAYO	CIMAS HEALTH GROUP (PVT) LTD	31A JASON MOYO STREET	Pharmacies: Restricted	BULAWAYO	05/31/2025	
P02-P1320-2024	CIMAS HEALTHCARE CLINIC - MAKONI	CIMAS HEALTH GROUP (PVT) LTD	16097 UNIT G SEKE	Pharmacies: Restricted	CHITUNGWIZA	01/31/2025	
P02-P1303-2024	CIMAS HEALTHCARE CLINIC (MUTARE)	CIMAS MEDICAL AID SOCIETY	16.8TH AVE	Pharmacies: Restricted	MUTARE	02/28/2025	
P05-P1296-2024	CIMAS HEALTHCARE PHARMACY	CIMAS MEDICAL AID SOCIETY	1 - 6TH STREET	Pharmacy located in the CBD	GWERU	10/31/2025	
P05-P1257-2024	CIMAS HEALTHCARE PHARMACY - KWEKWE	CIMAS HEALTHCARE PHARMACIES (PVT) LTD	"NUMBER 12A AND B, SECOND AVENUE"	Pharmacy located in the CBD	KWEKWE	10/31/2025	
P01-P1281-2024	CIMAS HEALTHCARE PHARMACY- HIGHGLEN	CIMAS HEALTHCARE PHARMACIES (PVT) LTD	"SHOP NUMBER 4 & 5,"	Pharmacy in any other location	HARARE	08/31/2025	
P05-P1454-2024	CIMAS JAISON MOYO PHARMACY	CIMAS HEALTHCARE PHARMACIES (PVT) LTD	"STD 1516 - 1519 SALISBURY, 130 MBUYA NEHANDA ST."	Pharmacy located in the CBD	HARARE	02/28/2025	
P01-P1322-2024	CIMAS MILTON PARK PHARMACY	CIMAS HEALTH GROUP (PVT) LTD	13 ROWLAND SQUARE MILTON PARK	Pharmacy in any other location	HARARE	03/31/2025	
P01-P1331-2024	CIMAS PHARMACY - RUWA	CIMAS HEALTHCARE PHARMACY (PVT) LTD	STD 434 CHIHOMBE RD	Pharmacy in any other location	RUWA	02/28/2025	
P01-P1548-2024	CIMAS RETAIL PHARMACY -VICTORIA FALLS	CIMAS HEALTHCARE PHARMACIES (PVT) LTD	89 SPENCER ROAD	Pharmacy in any other location	VIC FALLS	02/28/2025	
P01-P1251-2024	CITADEL PHARMACY	CITADEL PHARMACY (PVT) LTD	"SHOP P1-8 SOUTHWINDS SHOPS, WATERFALLS"	Pharmacy in any other location	HARARE	10/31/2025	
P01-P1238-2024	CITIZENS PHARMACY	CITIZENS PHARMACY (PVT) LTD	9689 GLEN VIEW 3 S/CENTRE	Pharmacy in any other location	HARARE	01/31/2025	
P01-P1195-2024	CITY PHARMACY	DUBE GERSHOM Dr	RAILMED HSE 8TH J. TONGOGARA STR	Pharmacy in any other location	BULAWAYO	01/31/2025	
P01-P1157-2024	CITYMED PHARMACY	ARISHYN PHARM (PVT) LTD	241 BEC BUILDING CNR LOBENGULA & 5TH STREET	Pharmacy in any other location	GWERU	02/28/2025	
P01-P1786-2024	CLAIRESTACEY PHARMACIES - GLEN NORAH	CLAIRESTACEY PHARMACIES (PVT) LTD	7582 MANGENA LANE	Pharmacy in any other location	HARARE	06/30/2025	
I03-P0079-2023	CLAREMONT CLINIC	ARISTON HOLDINGS (PVT) LTD	CLAREMONT ESTATE	Clinics: Class C	JULIASDALE	09/30/2024	
H01-P0017-2023	CLAYBANK CLINIC PHARMACY	CLAYBANK (PVT) LTD	STD 792 CLAYBANK RD	Hospital pharmacies	GWERU	10/31/2025	
P01-P1323-2024	CLEANWORLD PHARMACY - RUSAPE	PINECREST TRADING (PVT) LTD	"SHOP 4, STD 9 NYABADZA AVENUE"	Pharmacy in any other location	RUSAPE	10/31/2025	
I02-P0210-2024	CLEARWATER ESTATE CLINIC	ARISTON MANAGEMENT (PVT) LTD	CLEARWATER ESTATE	Clinics: Class B	CHIPINGE	09/30/2024	
P01-P1460-2024	CLINIMED PHARMACY	FORTUNE S. DHLIWAYO	"SHOP 2,STD NO.19350 MAKONI S/CENTRE"	Pharmacy in any other location	525	08/31/2025	
P01-P1926-2024	CLINIMED PHARMACY	CLINIMED HOLDINGS (PVT) LTD	SHOP NO 1 STORTFORD PARADE	Pharmacy in any other location	187	02/28/2025	
P01-P2026-2024	CLINIVA 24 HRS PHARMACY	CLINIVA PHARMACEUTICALS (PVT) LTD	STAND 806A RUNYARARO ROAD DZIVARASEKWA	Pharmacy in any other location	HARARE	09/30/2025	
P06-P0000-2024	CLIQ SONLINE PHARMACY	KWESFUR PBC	676 MUPANDAWANA	Pharmacy in rural area	532	01/31/2025	
P05-P1558-2024	CLIQUE PHARMACY	HEALTHWELL PHARMACY	18 AERODrOME RD	Pharmacy located in the CBD	MUTARE	02/28/2025	
I02-P0099-2023	COLCOM FOODS CLINIC	COLCOM FOODS LIMITED	1-3 COVENTRY ROAD	Clinics: Class B	HARARE	09/30/2024	
P01-P1888-2024	COMPLEX PHARMACY	CRESTAPHARM (PVT) LTD	MATEKETA COMPLEX 28 MASHAYAMOMBE RD	Pharmacy in any other location	KADOMA	01/31/2025	
P01-P1536-2024	CONCESSION PHARMACY	TRYSOPEC SUPPLIES (PVT) LTD	32 AMANDAS	Pharmacy in any other location	CONCESSION	07/31/2025	
P01-P1784-2024	CONNAUGHT PHARMACY	CONNAUGHT PHARMACEUTICALS (PVT) LTD	21A CONNAUGHT AVENUE	Pharmacy in any other location	BULAWAYO	05/31/2025	
P01-P1895-2024	CONNECT PHARMACY	CONNECT PHARMA (PVT) LTD	STAND 3490 WARREN PARK 1 SHOPS	Pharmacy in any other location	HARARE	02/28/2025	
P01-P1348-2024	CONNECT PHARMACY	CONNECT PHARMA (PVT) LTD	STD NO.2024 NGONI T/SHIP	Pharmacy in any other location	NORTON	06/30/2025	
P01-P1356-2024	CONNECT PHARMACY	CONNECT PHARMA (PVT) LTD	"123 ZVIMBA ROAD, K2005 KATANGA"	Pharmacy in any other location	NORTON	06/30/2025	
P05-P1920-2024	COOLMED PHARMACY	COOLMED INVESTMENTS (PVT) LTD	SHOP 2 SMART CORNER R. MUGABE WAY	Pharmacy located in the CBD	GWERU	04/30/2025	
P01-P1896-2024	COOLWATERS PHARMACY	COOLWATERS PHARMACY (PVT) LTD	3897 NHORO ROAD NHARIRA	Pharmacy in any other location	NORTON	07/31/2025	
W01-P0139-2024	COOPER ZIMBABWE	COOPER ZIMBABWE (PVT) LTD	29 ANTONY DrIVE MsASA	Wholesalers	HARARE	03/31/2025	
P05-P0421-2023	COPACABANA PHARMACY	BESTZONE (PVT)LTD	144 CHINHOYI STREET CNR J. MOYO AVE	Pharmacy located in the CBD	HARARE	06/30/2025	
P05-P1632-2024	CORPORATE 24 PHARMACY	JOYBONYTA INVESTMENTS (PVT) LTD	89 PARHAM HSE J. TONGOGARA 8TH & 9TH AVE	Pharmacy located in the CBD	BULAWAYO	02/28/2025	
P01-P1631-2024	CORPORATE 24 PHARMACY	JOYBONYTA INVESTMENTS (PVT) LTD	6 BATH RD BELGRAVIA	Pharmacy in any other location	HARARE	01/31/2025	
P01-P1738-2024	COSMED PHARMACY	COSMED PHARMACEUTICALS (PVT) LTS	"SHOP 2, 5 GEORGE AVENUE"	Pharmacy in any other location	CHEGUTU	12/31/2025	
P01-P1908-2024	COUNTY BROOK PHARMACY	COUNTY BROOK INVESTMENTS (PVT) LTD	8673 GLEN NORAH A	Pharmacy in any other location	HARARE	06/30/2025	
P01-P1730-2024	COUNTY BROOK PHARMACY	COUNTY BROOK INVESTMENTS (PVT) LTD	100 JASON MOYO AVE	Pharmacy in any other location	HARARE	09/30/2025	
P01-P1359-2024	COVENANT PHARMACY	COVENANT PHARMACY (PVT) LTD	8141 KUWADZANA 2	Pharmacy in any other location	HARARE	01/31/2025	
P01-P1162-2024	COWDrAY PARK PHARMACY	CROWBERRY SERVICES (PVT) LTD	22525	Pharmacy in any other location	BULAWAYO	02/28/2025	
P01-P1554-2024	COZYCARE PHARMACY	HOWCOZY HOLDINGS (PVT) LTD	"19155 OVERSPILL, EPWORTH"	Pharmacy in any other location	HARARE	10/31/2025	
P01-P1768-2024	COZYCARE PHARMACY	HOWCOZY HOLDINGS (LTD) LTD	407 MAKOMO	Pharmacy in any other location	HARARE	12/31/2025	
P01-P1509-2024	CRESCENT PHARMACY	SWEET DOSE PHARMACEUTICALS (PVT) LTD	14855 DAMOFALLS	Pharmacy in any other location	RUWA	08/31/2025	
P06-P0761-2024	CROSS COUNTRY PHARMACY	SHANDUKI FUNGAI C.	STAND 185	Pharmacy in rural area	548	03/31/2025	
P06-P1610-2024	CROSSrOADS PHARMACY	SAANICA INVESTMENTS (PVT) LTD	"MZENZI COMPLEX, CROSSrOADS BUSINESS CENTRE"	Pharmacy in rural area	SILOBELA	06/30/2025	
I02-P0073-2023	CRYSTAL CANDY CLINIC	CRYSTAL CANDY (PVT) LTD	12 BURNLEY ROAD	Clinics: Class B	HARARE	09/30/2024	
P01-P1442-2024	CURAPLUS PHARMACY	CURAPLUS (PVT) LTD	"SHOP 5 CABS HOUSE, BOND STREET,"	Pharmacy in any other location	HARARE	05/31/2025	
P01-P1998-2024	CURAPLUS PHARMACY - RHODESVILLE	CURAPLUS (PVT) LTD	SHOP 2 RHODESVILLE MALL 32 RHODESVILLE AVENUE	Pharmacy in any other location	HARARE	09/30/2025	
H01-P0019-2024	CURE CHILDrENS HOSPITAL OF ZIMBABWE PHARMACY	CURE CHILDrENS HOSPITAL OF ZIMBABWE PHARMACY	CNR KENWOOD & ESIGODINI RDS WOODLANDS	Hospital pharmacies	BULAWAYO	06/30/2025	
P01-P1936-2024	CUREHEAVEN PHARMACY	CUREHEAVEN PHARMACY (PVT) LTD	1387 GOROMONZI RURAL SERVICE CENTRE	Pharmacy in any other location	GOROMONZI	04/30/2025	
P01-P1345-2024	CUREMED PHARMACY	CUREMED PHARMACY (PVT) LTD	"STD 689,BUDIRIRO 1 S/CENTRE"	Pharmacy in any other location	HARARE	01/31/2025	
P01-P1338-2024	CUREMED PHARMACY	CUREMED PHARMACY (PVT) LTD	STD 3483 WARREN PARK 2 S/CENTRE	Pharmacy in any other location	HARARE	03/31/2025	
P01-P1912-2024	CURRENT PHARMACY	VICTOR NDANDA INVESTMENTS P.B.C	5568 BUDIRIRO 5B	Pharmacy in any other location	HARARE	09/30/2025	
P05-P1966-2024	DAILY HEALTH PHAMACY	KENLARDT INVESTMENNTS (PVT) LTD	90 HERBERT CHITEPO STREET	Pharmacy located in the CBD	BULAWAYO	04/30/2025	
I02-P0098-2023	DAIRIBORD ZIMBABWE CLINIC-HARARE	DAIRIBORD ZIMBABWE LIMITED	REKAI TANGWENA ROAD	Clinics: Class B	HARARE	09/30/2024	
D01-P0014-2023	DAMBA SURGERY	KUWANDOGA PROSPER (Dr)	28 DAMBA	Dispensing medical practice	547	06/30/2024	
P01-P1273-2024	DANGAMVURA PHARMACY	YOULIB (PVT) LTD	89 WEIRMOUTH	Pharmacy in any other location	MUTARE	05/31/2025	
W01-P0159-2024	DATLABS	DATLABS (PVT) LTD	111 KELVIN ROAD SOUTH	Wholesalers	HARARE	10/31/2025	
W01-P0160-2024	DATLABS	DATLABS (PVT) LTD	63 PLUMTREE ROAD	Wholesalers	BULAWAYO	11/30/2025	
I02-P0100-2023	DATLABS CLINIC	DATLABS (PVT) LTD	45 FALCON STREET	Clinics: Class B	BULAWAYO	04/30/2025	
P01-P1877-2024	DAYBREAK PHARMACIES	DAYBREAK PHARMACIES (PVT) LTD	9653 CHIPUKUTU T/SHIP	Pharmacy in any other location	RUWA	04/30/2025	
P05-P1581-2024	DE NOVO PHARMACY	DE NOVO PHARMACIES (PVT) LTD	9 SAMORA MACHEL AVENUE	Pharmacy located in the CBD	HARARE	11/30/2025	
P05-P1577-2024	DEES PHARMACY	MONALISA JOMBE	CNR R.MUGABE ROAD/ANGWA ST	Pharmacy located in the CBD	HARARE	09/30/2025	
P05-P1154-2024	DEFACTO PHARMACY	DEFACTO ENTERPRISES (PVT) LTD	"ESSEX HOUSE, 133 L. TAKAWIRA AVE"	Pharmacy located in the CBD	BULAWAYO	01/31/2025	
I02-P0206-2024	DELTA BEVERAGES CLINIC	DELTA BEVERAGES (PVT) LTD	CNR SEKE AND CRIPPS RDS	Clinics: Class B	HARARE	09/30/2024	
P01-P1330-2024	DELYN PHARMACY	MAKDEL INVESTMENTS (PVT) LTD	8190 KUWADZANA 5	Pharmacy in any other location	HARARE	06/30/2025	
P05-P1265-2024	DELYN PHARMACY	MAKDEL INVESTMENTS (PVT) LTD	SHOP 40 MAIN STREET	Pharmacy located in the CBD	BINDURA	10/31/2025	
P01-P1438-2024	DELYN PHARMACY	MAKDEL INVESTMENTS (PVT) LTD	STAND NO. 1 MAIN STREET	Pharmacy in any other location	BINDURA	01/31/2025	
P05-P1900-2024	DG-GLOBAL PHARMACY	DG PHARMACY (PVT) LTD	53 J. NKOMO ST & 4TH AVENUE	Pharmacy located in the CBD	BULAWAYO	03/31/2025	
P05-P1326-2024	DIAMOND PHARMACY - ANGWA	DIAMOND PHARMACY	JASON MOYO AVENUE	Pharmacy located in the CBD	HARARE	01/31/2025	
P01-P1477-2024	DIAMOND PHARMACY - FIFTH STREET	DIAMOND PHARMACY	926 - 25 FIFTH STREET	Pharmacy in any other location	HARARE	03/31/2025	
P05-P1471-2024	DIAMOND PHARMACY - FOURTH AVENUE	WAYGRE INVESTMENTS (PVT) LTD	NO. 53 JASON MOYO/FOURTH AVENUE	Pharmacy located in the CBD	BULAWAYO	04/30/2025	
P05-P1476-2024	DIAMOND PHARMACY - GWERU	WAYGRE INVESTMENTS (PVT) LTD	33 R.G. MUGABE WAY	Pharmacy located in the CBD	GWERU	09/30/2025	
P05-P1472-2024	DIAMOND PHARMACY - KWAME	WAYGRE INVESTMENTS (PVT) LTD	ROBINSON HOUSE 51 KWAME NKRUMAH AVENUE	Pharmacy located in the CBD	HARARE	06/30/2025	
P01-P1324-2024	DIAMOND PHARMACY - MASVINGO	WAYGRE INVESTMENTS (PVT) LTD	400 R.G. MUGABE WAY	Pharmacy in any other location	MASVINGO	11/30/2025	
P05-P1292-2024	DIAMOND PHARMACY - REZENDE STREET	WAYGRE INVESTMENTS (PVT) LTD	"SHOP 2 TRAVLOS HSE, 32 J. MOYO/REZENDE STR"	Pharmacy located in the CBD	HARARE	02/28/2025	
P01-P1762-2024	DIAMOND PHARMACY MUTARE	WAYGRE INVESTMENTS (PVT) LTD	"STANBIC BUILDING, 67 H. CHITEPO ST"	Pharmacy in any other location	MUTARE	10/31/2025	
P01-P1381-2024	DOMBOSHAVA MEDICAL AND DENTAL PHARMACY	ASTRALAGUS INVESTMENTS (PVT) LTD	221 CHIRODZERO RURAL	Pharmacy in any other location	DOMBOSHAWA	11/30/2025	
P01-P1567-2024	DOWNTOWN PHARMACY	TYTHAN PHARMACY (PVT) LTD	7919 WELBY RD DOWNTOWN	Pharmacy in any other location	MASVINGO	11/30/2025	
D01-P0035-2023	Dr. REHMAN SURGERY	Dr. BASHARAT UR REHMAN	38-13TH AVENUE	Dispensing medical practice	BULAWAYO	06/30/2024	
P01-P1314-2024	DrUG BLEND PHARMACY	DrUG BLEND PHARMACY(PVT) LTD	115 FIVE AVENUE/3RD STREET	Pharmacy in any other location	HARARE	01/31/2025	
P01-P1565-2024	DrUG MART PHARMACY	DIS-SMAT INVESTMENTS (PVT) LTD	"STD 238, MAPEREKE COMPLEX"	Pharmacy in any other location	MUREHWA	05/31/2025	
P01-P1980-2024	DrUGINN CHIEDZA PHARMACY	DrUGINN PHARMACEUTICALS (PVT) LTD	2375 CHIEDZA	Pharmacy in any other location	KAROI	04/30/2025	
P01-P1958-2024	DrUGINN PHARMACY	DrUGINN PHARMACEUTICALS	6275 FRED JAMESON WAY	Pharmacy in any other location	KAROI	02/28/2025	
P01-P1521-2024	DULIBADZIMU PHARMACY	OLICHEM PHARMACY (PVT) LTD	STAND 2855 DULIBADZIMU T/SHIP	Pharmacy in any other location	BEITBRIDGE	06/30/2025	
I03-P0195-2023	DULUX LIMITED CLINIC	DULUX LIMITED	"11042 HIGHFIELD RD, SOUTHERTON"	Clinics: Class C	HARARE	09/30/2024	
P01-P1447-2024	DUSKY PHARMACY	DUSKY PHARMACY (PVT) LTD	STAND 7964 KUWADZANA T/SHIP	Pharmacy in any other location	HARARE	03/31/2025	
P06-P1563-2024	EAGLEHUT PHARMACY	EAGLEHUT ENTERPRISES (PBC)	"25 LOOP ROAD, PUMA SERVICES STATION"	Pharmacy in rural area	BEATRICE	10/31/2025	
P01-P1233-2024	EASTCARE PHARMACY	THIRTY SEVEN B INVESTMENTS (PVT) LTD	37B MAIN STREET	Pharmacy in any other location	CHIPINGE	06/30/2025	
I01-P0128-2023	EASTERN HIGLANDS CLINIC	EASTERN HIGHLANDS PLANTATIONS LIMITED	EASTERN HIGHLANDS CLINIC	Clinics: Class C	HAUNA	09/30/2024	
P01-P1994-2024	EAST-ISLE PHARMACY	EAST-ISLE INVESTMENT	SUITE 7B LF MUTUAL COMPLEX TURF	Pharmacy in any other location	NGEZI	01/31/2025	
P01-P1287-2024	EASTLEA PHARMACY	MUHERA BROTHERS INVESTMENTS (PVT) LTD	"SHOP 3 PATMAR HOUSE, SELKIRK ROAD"	Pharmacy in any other location	HARARE	12/31/2025	
P05-P1629-2024	EASTROCK PHARMACY	EASTROCK PHARMACIES PVT) LTD	SHOP 2 OF 54 HEBERT CHITEPO STREET	Pharmacy located in the CBD	MUTARE	06/30/2025	
P01-P1742-2024	EBENEZER PHARMACY	EBENEZER PHARMACY (PVT) LTD	SOUTHERTON POST OFFICE LOT 1/3163	Pharmacy in any other location	HARARE	05/31/2025	
I02-P0087-2023	ELEPHANT HILLS HOTEL CLINIC	ZIMBABWE SUN LIMITED	PARKWAY EXTENSION	Clinics: Class B	VIC FALLS	09/30/2024	
P01-P1363-2024	ELIVIS PHARMACY	ELIVIS PHARMACY (PVT) LTD	STAND 1211 HWEDZA GROWTH	Pharmacy in any other location	WEDZA	05/31/2025	
